time,  gyro-x,  gyro-y,  gyro-z
1467159722316, -0.024740042, -0.02076942, 0.0033597588
1467159722418, -0.017104227, -0.00580322, -0.005192355
1467159722528, -0.02076942, -0.048258353, -0.0018325958
1467159722632, -0.03481932, -0.56230146, -0.0033597588
1467159722738, -0.019547688, -0.022907447, -6.1086525E-4
1467159722840, -0.019547688, -0.038179077, -0.0030543262
1467159722943, -0.02443461, -0.03970624, 0.042455133
1467159723045, -0.026572637, -0.038789943, 0.056199603
1467159723147, -0.02076942, -0.01160644, -0.0036651916
1467159723249, -0.01740966, 0.18661933, 0.008246681
1467159723350, -0.032375857, -0.12736541, -0.0021380284
1467159723459, -0.023823744, 0.021380283, -0.0018325958
1467159723560, -0.016493361, -0.035430185, 0.0033597588
1467159723664, -0.01863139, -0.025961773, -0.0033597588
1467159723765, -0.018325957, -0.028710667, 0.0027488936
1467159723867, -0.014049901, -0.02107485, 0.008857546
1467159723969, -0.01740966, -0.016798794, -0.0012217305
1467159724071, 9.162979E-4, -0.004581489, 0.031154128
1467159724172, -0.019242255, -0.024129177, -0.0033597588
