timeInMs,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,gyroRotationZ
1030.6,104,140786.1746,0.000595093,1.006271362,-0.005187988,140786.1686,-0.232425254,-0.085012363,-0.113002719,-0.113002719
1040.6,105,140786.1846,0.01133728,1.007019043,-0.005371094,140786.1786,-0.234525955,-0.069022211,-0.125977107,-0.125977107
1050.6,106,140786.1946,0.026031494,1.005325317,-0.015777588,140786.1886,-0.237582465,-0.093488672,-0.140988547,-0.140988547
1060.6,107,140786.2046,0.018539429,1.002365112,-0.026809692,140786.1986,-0.245913366,-0.143505501,-0.158106281,-0.158106281
1070.6,108,140786.2146,0.001220703,0.999176025,-0.027389526,140786.2086,-0.256383583,-0.191391268,-0.176318841,-0.176318841
1080.7,109,140786.2247,-0.014633179,0.997940063,-0.026016235,140786.2186,-0.26910364,-0.195623031,-0.194674679,-0.194674679
1090.7,110,140786.2347,-0.027633667,1.001586914,-0.014389038,140786.2287,-0.282019438,-0.156221562,-0.19917116,-0.19917116
1100.6,111,140786.2446,-0.033355713,1.010375977,0.002380371,140786.2387,-0.297047923,-0.114682641,-0.2090672,-0.2090672
1110.7,112,140786.2547,-0.029541016,1.010391235,0.018768311,140786.2487,-0.294956542,-0.08699482,-0.212366591,-0.212366591
1120.7,113,140786.2647,-0.013946533,1.003341675,0.023773193,140786.2587,-0.293928828,-0.075285966,-0.210243252,-0.210243252
1130.7,114,140786.2747,-0.000534058,1.002868652,0.023849487,140786.2687,-0.282103328,-0.088057954,-0.213366075,-0.213366075
1140.7,115,140786.2847,-0.000747681,1.002380371,0.020431519,140786.2787,-0.278776507,-0.115729796,-0.220797892,-0.220797892
1150.7,116,140786.2947,-0.010986328,1.006515503,0.0184021,140786.2887,-0.285029343,-0.170023128,-0.226052575,-0.226052575
1160.7,117,140786.3047,-0.027099609,1.003326416,0.019287109,140786.2987,-0.286014446,-0.198767691,-0.228124781,-0.228124781
1170.7,118,140786.3147,-0.048828125,0.999145508,0.022598267,140786.3087,-0.288192379,-0.189188301,-0.226013427,-0.226013427
1180.7,119,140786.3247,-0.067642212,1.004486084,0.027832031,140786.3187,-0.293605254,-0.164699469,-0.226117557,-0.226117557
1190.7,120,140786.3347,-0.073242188,0.999359131,0.025863647,140786.3287,-0.28839478,-0.118922393,-0.221919616,-0.221919616
1200.7,121,140786.3447,-0.056793213,0.99911499,0.00617981,140786.3387,-0.285384875,-0.057179134,-0.214553312,-0.214553312
1210.7,122,140786.3547,-0.030654907,1.002563477,0.000228882,140786.3487,-0.313395737,0.013091567,-0.213847308,-0.213847308
1220.7,123,140786.3647,-0.020309448,0.996261597,0.027420044,140786.3587,-0.330454349,-0.024180437,-0.209528726,-0.209528726
1230.7,124,140786.3747,-0.023254395,0.99772644,0.031784058,140786.3687,-0.333446943,-0.111488445,-0.209285047,-0.209285047
1240.7,125,140786.3847,-0.030014038,1.006729126,0.017318726,140786.3787,-0.323582328,-0.156178419,-0.228466997,-0.228466997
1250.8,126,140786.3948,-0.047805786,0.996704102,0.015762329,140786.3887,-0.341671317,-0.172133417,-0.239285024,-0.239285024
1260.8,127,140786.4048,-0.053192139,0.983032227,0.0206604,140786.3988,-0.361035694,-0.175353179,-0.222166757,-0.222166757
1270.7,128,140786.4147,-0.034484863,0.997955322,0.031967163,140786.4088,-0.380514587,-0.122135763,-0.209522601,-0.209522601
1280.8,129,140786.4248,-0.043304443,1.009689331,0.078765869,140786.4188,-0.393375791,-0.117878434,-0.208532704,-0.208532704
1290.8,130,140786.4348,-0.06703186,0.997467041,0.092330933,140786.4288,-0.389039898,-0.147695718,-0.20519017,-0.20519017
1300.8,131,140786.4448,-0.086975098,0.996459961,0.081466675,140786.4388,-0.362257819,-0.15195145,-0.207176622,-0.207176622
1310.8,132,140786.4548,-0.097900391,0.99520874,0.071380615,140786.4488,-0.351657106,-0.124276412,-0.201817543,-0.201817543
1320.8,133,140786.4648,-0.090957642,1.004272461,0.094116211,140786.4588,-0.355069148,-0.099821137,-0.179309571,-0.179309571
