time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro 
400,14.6004410,0.208295550,19.5336930,-3.85455970,0.86865040,-1.135904 
410,5.2073890,19.1248840,-1.77649760,0.430049120,-0.070860370,-1.1798862 
420,-12.164340,19.6085110,-9.6205010,-0.6756170,-1.27121060,-9.998642 
430,-3.8887820,19.6085110,-1.91955130,-1.45813540,0.50152040,-3.6254852 
440,5.34445670,-0.228047710,-2.3936030,-0.970359440,-0.382401650,0.29016098 
450,7.6381020,6.45476770,-4.29819060,2.21316480,-1.10108460,9.85234 
460,-19.609110,19.0835840,2.11348150,1.81915660,3.23880740,9.370978 
470,-8.6640180,-19.6085110,19.5193270,-6.37987660,1.380250,-8.916189 
480,8.7274640,19.6085110,0.33458970,0.267253550,-0.373849540,-1.2379184 
490,-13.3782010,18.8441640,-6.25844340,-1.0448850,-1.69789990,-10.04293 
500,2.5947160,19.6085110,-6.18482160,-1.69362390,-0.096822140,-5.0607133 
510,6.4134680,-4.1689040,-1.36529350,-1.11238560,0.724180760,0.70921457 
520,9.9910040,6.26203440,-6.0058550,1.09069990,-1.26601830,9.959242 
530,-19.4798240,19.6085110,3.14538240,4.33469960,-0.418137250,9.718866 
540,-19.609110,19.07640,17.8098680,-5.76198630,0.347887750,-9.270797 
550,3.4482490,19.6085110,-2.01891060,0.46150870,-0.93889990,-1.7385225 
560,-19.609110,-4.7471030,-5.3600190,-3.04333070,-1.48073730,-10.04293 
570,-9.984420,19.6085110,-7.2251020,0.50365840,-0.594982740,-8.072584 
580,3.62242720,-9.5815950,0.867299560,-1.18446770,1.37078170,-0.20738874 
590,7.68299340,6.1291560,-7.077260,0.366519150,-2.11145570,9.959242 
600,-19.609110,19.6085110,1.28389060,3.8979310,1.49936880,9.969321 
610,3.17411280,19.6085110,-5.79217240,-1.63772980,-0.51373770,-3.169169 
620,10.409390,19.6085110,0.873285060,0.035735620,-0.80176060,-1.42973 
630,-15.339650,9.6647940,1.66875860,-2.67039750,-1.41384760,-10.04293 
640,-14.0485770,19.6085110,-10.2465850,0.413250330,-1.91689520,-6.7234883 
650,18.2354370,9.641450,1.64721070,-0.574518740,0.83138760,-3.0445523 
660,2.76590160,4.63996270,-12.6844810,0.216857170,-1.786170,9.959242 
670,-6.1800330,19.6085110,-0.57819970,3.93702650,3.63831330,9.702373 
680,-19.3152220,17.3262390,11.3652750,0.293520750,-2.60870,2.5396724 
690,-13.7708490,9.2877070,-3.50032280,0.229379890,-0.040622540,-2.4150558 
700,4.65013840,15.6718450,-3.56855770,-0.595288160,-1.69362390,-9.981538 
710,-4.3532570,19.6085110,-12.9322810,-0.242208060,-1.82068380,-3.0140092 
720,17.3046910,19.6085110,-1.2581530,0.0137444680,-2.48041840,-0.8848383 
730,-3.02267960,9.0255420,-10.3375640,1.23914020,0.841161430,9.973597 
740,-11.9686150,19.6085110,2.54623340,5.07842830,1.04213610,9.96199 
750,-19.609110,11.9141460,4.60404970,0.90346970,2.40100570,-0.1459968 
760,-2.92870710,4.6956280,15.546150,0.83749630,1.33901670,-1.1682798 
770,19.6079140,16.5816420,-3.23815770,0.1212567540,-1.4593570,-7.6181006 
780,-19.609110,4.84047750,-8.7591870,2.10229280,-0.75044790,-7.758294 
790,15.4509810,17.9319730,-4.52803370,0.480750950,-4.60195350,0.713796 
800,2.21762940,6.552930,-11.3239760,1.19424150,3.06623820,8.837082 
810,-19.609110,19.6085110,15.5168210,3.9846740,0.53297990,7.095811 
820,-19.609110,-19.6085110,2.86466240,-3.42787030,2.41811010,-10.04293 
830,0.652420,14.6082220,-1.03668930,0.330783520,0.233350530,-0.9621128 
840,-2.71023630,7.0892310,-2.9556420,0.075441860,-1.1310170,-4.4556513 
850,-2.57556250,9.7342250,-1.46345580,-0.017409660,-0.4624250,-4.480086 
860,-11.0654020,10.2639430,-9.7988690,-0.98074410,-0.61514130,-0.020158553 
870,2.06080910,-0.419583860,0.57221420,0.51862460,-1.57236720,5.6831846 
880,-5.665280,12.788030,6.43022730,0.76969020,-1.97309470,6.4128633 
890,-10.3285870,10.8912240,-5.5240220,0.236099420,2.39886780,-1.2052372 
900,7.2400660,9.8258040,0.77691850,0.257174250,-0.360715930,-0.36346483 
910,-0.360327360,9.484630,-1.13604870,0.011606440,0.0073303830,6.1086525E-4 
920,-0.216675250,9.7216560,-1.4778210,0.0213802830,0.0387899430,0.011911872 
930,-0.347159240,9.616910,-1.47063840,-0.083993970,0.0122173050,0.03023783 
940,-0.0508767850,9.8497460,-1.33177470,-0.160657550,-0.0601702260,0.080634214 
950,0.154426010,9.7988690,-0.852934360,-0.111788340,-0.137750120,0.04550946 
960,0.34296940,9.4960020,-0.57221420,-0.107206850,-0.072692960,-0.0106901415 
970,0.31723170,9.612720,-0.432751950,-0.1197295860,-0.0791070460,-0.08674286 
980,0.150236160,9.736620,-0.38905780,-0.280998020,0.00305432620,-0.063224554 
990,0.135870950,9.8946370,-0.57939680,0.00671951750,-0.0458148940,0.010079277 
1000,0.13527240,9.6893340,-0.0185550640,-0.094684120,-0.031459560,-0.03756821 
1010,0.174178170,9.6306760,0.287902740,-0.054977870,-0.0109955740,-0.00580322 
1020,0.114323130,9.85154150,-0.584185240,0.0717766660,-0.0507018160,-0.025961773 
1030,-0.0095768070,9.68454550,-0.21128830,-0.0213802830,0.00213802840,-0.047647487 
1040,0.105943430,9.6432460,0.052672440,0.0748309940,-0.01435533350,-0.03268129 
1050,0.0616506930,9.7258460,-0.244807120,-0.01069014150,0.0204639860,-0.011911872 
1060,-0.0514753350,9.7102830,-0.386065040,0.0329867230,-6.1086525E-40,-0.0070249503 
1070,-0.0185550640,9.7019040,-0.26575640,0.0287106670,0.0042760570,-0.015271631 
1080,0.096965170,9.7270430,-0.336385340,-0.0113010070,0.0201585530,9.162979E-4 
1090,0.0113724580,9.707890,-0.304063620,0.0054977870,0.019853120,-0.010995574 
1100,-0.0113724580,9.6887360,-0.3621230,-0.0155770640,0.019853120,-0.008246681 
1110,0.00359130250,9.678560,-0.228646260,-0.010384710,0.00305432620,-0.004581489 
1120,0.053270990,9.748590,-0.305260720,0.00183259580,0.0051923550,-0.009162978 
1130,0.0909796660,9.7102830,-0.231639010,0.00183259580,0.0024434610,-0.00580322 
1140,0.0371101280,9.7001090,-0.205302790,0.0109955740,6.1086525E-40,-0.00580322 



