time,x-accel,y-accel,z-accel,x-gyro,y-gyro,z-gyro
90,0.8948329,10.0029745,-1.2719196,0.17837265,-0.0036651916,0.058337633
91,1.1587936,9.797672,-0.664391,0.06352998,-0.02443461,-0.051923547
92,0.8146271,9.670779,-0.80086046,0.06383542,-0.029321533,-0.062308256
93,0.79966336,9.667188,-0.8242039,0.11056661,0.038179077,-0.042760566
94,0.7553706,9.703101,-0.95109665,0.13958271,0.076052725,-0.050396383
95,0.878672,9.706693,-1.2910733,0.15699236,0.07452556,-0.081855945
96,0.6835446,9.685743,-1.34195,0.16401732,0.01160644,-0.03726278
97,0.6871359,9.634268,-1.4790181,0.20066923,0.02076942,-0.014660766
98,0.6811504,9.592968,-1.7794905,0.27275133,0.040927973,0.040927973
99,0.90859956,9.618706,-2.1649568,0.26542094,0.01863139,0.052534413
100,0.86011696,9.637859,-2.486977,0.100792766,-0.06383542,-0.032986723
101,0.8122329,9.566033,-2.332551,0.027488936,-0.06841691,-0.005192355
102,0.86131406,9.560646,-2.2463598,-0.0027488936,-0.047647487,-0.0018325958
103,1.0342951,9.412206,-1.4867992,-0.030543262,-0.03756821,-0.049480084
104,0.7445967,9.495404,-0.7152678,-0.27214047,-0.10629055,-0.15821409
105,0.6907272,9.72824,-2.5480292,-0.080634214,-0.038789943,-0.10445796
106,0.42676646,9.619304,-2.2852654,-0.07819075,-0.043676864,-0.11759156
107,0.45429978,9.67018,-2.0614076,-0.10445796,-0.03634648,-0.06658431
108,0.33399114,9.638457,-1.8764555,-0.13530666,-0.035430185,-0.040011674
109,0.28311434,9.673772,-1.8992004,-0.19394971,-0.041233405,0.014049901
110,0.6302736,10.003573,-1.8088194,-0.33658674,-0.087659165,-0.002443461
111,0.2669535,9.64983,-0.78410107,-0.22540927,-0.2434298,-0.15057829
112,0.4285621,10.22384,-0.943914,-0.23396139,-0.43035457,-0.2959642
113,-1.0755951,9.680955,-2.1140802,-0.12064589,-0.79045963,-0.5549711
114,-1.1893197,9.5253315,-1.7842789,-0.042760566,-1.8209893,-0.35063666
115,-0.7128736,9.504981,-2.1440077,0.14080444,-2.7699685,-0.14966199
116,0.7200562,9.72824,-1.4706384,0.36896262,-3.5705073,-0.01740966
117,2.3199813,9.986216,1.1599907,0.5531385,-3.4290922,0.22021692
118,2.6001031,10.1460285,3.0508115,0.15057829,-0.78801614,0.06688975
119,0.3549404,10.135853,-0.7978677,0.037873644,1.071763,-0.269697
120,-5.446809,7.6440873,-1.8022354,-0.24007004,0.675617,0.06566802
121,2.0733786,9.837775,-0.6691794,0.08368854,-2.5219572,0.109650314
122,-1.0498575,9.575011,-1.1617863,0.087964594,0.22968534,0.13561209
123,0.22445641,9.7958765,-0.47105917,0.083383106,-0.023823744,0.20586158
124,0.28191724,9.9233675,-0.98222125,0.004886922,0.022296581,0.14049901
125,0.4902128,9.833585,-1.0007763,0.09773844,0.06780604,0.02321288
126,0.3669114,9.745598,-1.1300632,0.14844026,0.08093964,0.00580322
127,0.2645593,9.68275,-1.2569559,0.18753563,0.058643065,-0.03145956
128,0.30226797,9.688736,-1.5526398,0.23426682,0.03023783,-0.046120327
129,0.22385786,9.629479,-1.7423803,0.25167647,0.017104227,-0.027183503
130,0.29508537,9.643845,-2.132635,0.21594086,0.0012217305,-0.007330383
131,0.41718966,9.720459,-2.3139958,0.10567969,-0.027794369,-0.027794369
132,0.22325931,9.588778,-2.1619642,0.013133603,-0.021380283,-0.03726278
133,0.34237084,9.635465,-2.167351,0.046731193,-0.012217305,-0.019242255
134,0.16400282,9.569624,-2.260725,0.028405234,0.006414085,-0.021991149
135,0.23403321,9.633071,-2.309806,-0.027183503,0.01038471,-0.0036651916
136,0.18614918,9.56723,-2.1003134,-0.077579886,0.017715093,0.029626964
137,0.31543607,9.604341,-1.9153614,-0.08155051,0.036651913,0.062002823
138,0.50757074,9.728839,-2.1230583,-0.08735373,0.04062254,0.04550946
139,0.50637364,9.682152,-1.9165585,-0.19883664,0.012217305,0.026267206
140,0.50158525,9.712079,-1.6370354,-0.2434298,-3.0543262E-4,0.02565634
141,0.62368953,9.798869,-1.3545196,-0.3136793,-0.021380283,0.014966198
142,0.7272388,9.730635,-0.81043726,-0.31123585,-0.07849618,-0.055283304
143,0.7649474,10.103531,-0.9103952,-0.1423316,-0.16493362,-0.10567969
144,-0.6799533,9.900024,-1.3431472,-0.010995574,-0.14508049,-0.46211955
