Elapsed Time, accel x, accel y, accel z, gyro x, gyro y, gyro z
1.48E+09,2.963699,-2.912567,2.180474,-0.576522,0.096671,0.22265
1.48E+09,2.954065,-2.527842,2.305071,-0.572562,0.053152,0.173822
1.48E+09,3.092731,-2.635865,2.308896,-0.491825,-0.02663,0.125095
1.48E+09,3.326306,-2.922628,2.166255,-0.450719,-0.002087,0.051518
1.48E+09,3.400022,-3.032239,1.727646,-0.470468,0.012717,-0.005266
1.48E+09,-0.330043,-3.24045,1.317961,-0.517258,0.022291,-0.012913
1.48E+09,-3.032093,-1.422027,2.252722,-0.524196,0.082097,0.019829
1.48E+09,-1.465034,-0.360248,2.405822,0.150977,-0.539708,3.398513
1.48E+09,-0.306664,0.080523,2.584355,-0.20356,-0.145459,-0.034862
1.48E+09,0.00112,0.61152,2.018119,-0.328583,0.171562,-0.751043
1.48E+09,0.185175,-0.104705,0.567254,0.62753,0.318106,0.242976
1.48E+09,0.402584,-0.388495,-0.375318,-0.525882,0.281285,-0.194239
1.48E+09,0.840207,-0.849685,-0.220173,-0.319525,0.191541,0.113608
1.48E+09,1.135309,-1.139588,0.343338,-0.024868,0.062101,-0.053749
1.48E+09,0.723149,-1.14196,1.059809,0.204973,-0.211095,-0.185024
1.48E+09,0.463793,-1.142037,1.76005,0.098649,-0.118245,-0.193803
1.48E+09,0.5526,-0.816797,2.407089,0.089804,-0.151775,0.147803
1.48E+09,0.610928,-0.791135,2.77666,0.09478,-0.083331,0.05884
1.48E+09,0.856518,-0.998149,2.717472,0.045791,-0.153283,-0.072505
1.48E+09,1.24515,-1.180642,2.055293,-0.052329,-0.228169,-0.046504
1.48E+09,1.325704,-1.48925,1.609104,-0.117158,-0.229645,-0.034352
1.48E+09,0.892457,-1.108679,1.33887,-0.085559,-0.059047,-0.092159
1.48E+09,0.520535,0.05274,1.197381,0.158653,-0.161396,0.005282
1.48E+09,0.370936,0.269686,1.320337,0.209982,-0.361602,0.108309
1.48E+09,0.490302,-0.052809,1.51883,0.18789,-0.432,-0.034344
1.48E+09,0.44856,-0.172645,1.62082,0.114569,-0.167829,-0.146552
1.48E+09,0.407057,-0.195017,1.604654,-0.026111,-0.242232,-0.070465
1.48E+09,0.303137,-0.142177,1.716322,-0.088469,-0.330279,0.057507
1.48E+09,0.233043,0.098987,1.95653,-8.20E-04,-0.184124,0.025164
1.48E+09,0.160547,0.313727,2.102712,0.049209,-0.132014,-0.028162
1.48E+09,0.107997,0.270574,2.195893,0.088037,-0.086571,0.029313
1.48E+09,-0.045391,0.337258,2.244064,0.045044,-0.028583,0.038951
1.48E+09,-0.2407,0.710368,2.293816,-0.026788,-0.081908,0.052156
1.48E+09,-0.334924,0.931289,2.278914,-0.032683,-0.021356,0.068919
1.48E+09,-0.135845,0.832021,2.168177,-0.025913,0.124309,0.100302
1.48E+09,0.26759,-0.084183,1.998141,-0.063918,0.188627,0.067213
1.48E+09,0.105944,-0.524433,1.883047,-0.158794,0.292057,-0.099733
1.48E+09,-0.032887,-0.433965,1.615828,-0.230143,0.411428,-0.331156
1.48E+09,-0.138557,-0.368652,1.421872,-0.014398,0.329431,0.061588
1.48E+09,-0.221937,-0.120976,1.176102,-0.044561,0.258267,0.062977
1.48E+09,-0.111335,0.176768,0.851342,-0.079369,0.28264,0.111988
1.48E+09,0.063871,-0.105058,-0.499055,-0.143072,0.237265,0.04305
