accelerometerTime(ms),AccelerationX,AccelerationY,AccelerationZ,gyroTime(ms),gyroX,gyroY,gyroZ
1596.863,0.211380005,0.969299316,0.30581665,1573.761,0.151877414,-1.122842511,-0.193185173
1656.006,0.28175354,1.207702637,0.069610596,1643.677,1.206836748,-0.066202456,0.146650428
1715.149,0.817382813,1.882598877,-0.334747314,1678.65,1.282546956,-0.017120397,0.155327805
1774.262,0.537948608,0.908905029,-0.481491089,1748.596,0.592258531,0.735480671,0.278999414
1833.405,0.099197388,0.288909912,-0.308059692,1818.542,0.082234153,0.626048452,0.014589329
1892.548,0.302764893,0.392044067,-0.137969971,1888.489,-1.172256134,-0.289776428,-0.235370443
1951.691,0.115264893,0.684173584,-0.134414673,1923.462,-0.827086488,0.105501926,0.161663199
2010.834,0.505233765,1.007522583,-0.086715698,1993.408,-0.69393882,0.447126371,0.321888291
2069.977,0.311767578,0.817474365,-0.239685059,2063.355,-0.393326256,0.760817187,0.212967932
2129.12,0.391983032,1.276779175,0.251525879,2098.328,-0.548743011,0.753780849,-0.073075809
2188.263,0.6146698,1.100509644,0.100418091,2168.274,0.146999035,0.253651979,-0.161363061
2247.406,0.382156372,0.29208374,-0.45022583,2238.22,1.108787679,0.473765439,0.604797758
2306.549,0.625320435,1.319366455,-0.00869751,2308.167,-0.298335827,0.348684486,-0.032172051
2365.692,0.436309814,0.614562988,0.066421509,2343.14,0.014200774,0.398145512,0.19951311
2424.805,0.245376587,0.506439209,-0.077804565,2413.086,0.322074979,0.11249006,-0.310278773
2483.873666,0.667373657,0.62071228,-0.31678772,2482.954,0.366576667,0.146218729,-0.184632165
2543.016666,0.39881897,0.5128479,0.18548584,2517.927,0.095098287,-0.393400026,-0.322992971
2602.159666,0.265441895,0.97454834,0.311447144,2587.874,-0.098134024,-1.141357606,-0.227469377
2661.302666,0.476882935,1.488830566,0.053512573,2622.847,0.128404845,-1.023270114,0.110180833
2720.445666,0.746673584,1.837738037,-0.309661865,2692.793,1.249488338,-0.417831067,0.267317191
2779.588666,0.36630249,0.606933594,-0.560928345,2762.739,0.083562272,0.126786708,0.201312342
2838.731666,0.120651245,0.283966064,-0.255874634,2832.655,-0.357958412,0.163901053,-0.331663424
2897.874666,0.395858765,0.602340698,-0.20954895,2867.628,-1.026484283,0.223325765,-0.252502026
2957.048666,0.198760986,0.810440063,-0.164962769,2937.575,-0.752234884,-0.031673241,0.368068037
3016.191666,0.227676392,0.608291626,-0.131988525,3007.521,-0.699377528,0.266381623,0.167251843
3075.334666,0.462554932,1.51210022,0.261703491,3042.494,-0.829908906,0.538259744,0.270361717
3134.477666,0.741195679,1.118927002,0.149841309,3112.44,0.004485296,0.107138438,-0.262100325
3193.620666,0.42678833,1.105621338,-0.025360107,3182.387,-0.099460278,-0.875333113,-0.049043976
3252.794666,0.713058472,0.969497681,0.020019531,3252.333,-0.033873545,0.375860979,0.220142488
