time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
193.599,19.3599,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.90120888,-11.26528168,-31.97212982,281.3079529,267.8492737,10,20728.16011,-0.20602417,-0.092300415,-0.717330933,20728.15253,-2.1831287,-0.612985647,-0.133721313,20728.15253,0.495962751,-0.125196564,0.249644496,-2.105297565,-0.688885093,-0.129109293,-0.073993228,0.115086228,0.252950519,-0.13568866,0.029673976,-0.235510906,-0.961895345,-0.120998837,-0.247059494,-0.961416066,22.07798386,-8.986063957,-34.14665985,2,20724.34949
203.249,20.3249,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.90120888,-11.26528168,-31.97212982,281.3079529,267.8492737,10,20728.16976,-0.20211792,-0.054748535,-0.729522705,20728.17254,-2.063719481,-0.243439822,-0.284833867,20728.17254,0.48618723,-0.131765112,0.209971931,-1.98588872,-0.319339037,-0.280221879,-0.077525631,0.116132036,0.252227753,-0.11725105,0.038377722,-0.232165573,-0.964820444,-0.128498539,-0.208432451,-0.969558656,22.07798386,-8.986063957,-34.14665985,2,20724.34949
212.893,21.2893,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.23764992,-9.903244019,-32.20676422,277.5313416,264.0726624,10,20728.17941,-0.196777344,-0.059524536,-0.755493164,20728.17254,-2.063719481,-0.243439822,-0.284833867,20728.17254,0.48618723,-0.131765112,0.209971931,-1.98588872,-0.319339037,-0.280221879,-0.077525631,0.116132036,0.252227753,-0.11725105,0.038377722,-0.232165573,-0.964820444,-0.128498539,-0.208432451,-0.969558656,22.07798386,-8.986063957,-34.14665985,2,20724.34949
222.572,22.2572,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.23764992,-9.903244019,-32.20676422,277.5313416,264.0726624,10,20728.18908,-0.20539856,-0.097427368,-0.777877808,20728.17254,-2.063719481,-0.243439822,-0.284833867,20728.17254,0.48618723,-0.131765112,0.209971931,-1.98588872,-0.319339037,-0.280221879,-0.077525631,0.116132036,0.252227753,-0.11725105,0.038377722,-0.232165573,-0.964820444,-0.128498539,-0.208432451,-0.969558656,22.07798386,-8.986063957,-34.14665985,2,20724.34949
232.224,23.2224,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.88840675,-8.296737671,-32.6760025,278.1150513,264.6563721,10,20728.19874,-0.198944092,-0.119857788,-0.812988281,20728.2025,-1.367723636,0.555632342,-0.523584395,20728.2025,0.466779511,-0.125820687,0.162379839,-1.28989315,0.479733467,-0.518972397,-0.081560351,0.06423983,0.201166525,-0.093238069,0.042243265,-0.225098372,-0.968944215,-0.123838209,-0.161667198,-0.979044318,20.98020935,-5.544454575,-35.54252243,2,20724.34949
241.933,24.1933,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.71378899,-6.725151062,-33.37987518,279.4940796,266.0354004,10,20728.20845,-0.172531128,-0.148788452,-0.879226685,20728.2025,-1.367723636,0.555632342,-0.523584395,20728.2025,0.466779511,-0.125820687,0.162379839,-1.28989315,0.479733467,-0.518972397,-0.081560351,0.06423983,0.201166525,-0.093238069,0.042243265,-0.225098372,-0.968944215,-0.123838209,-0.161667198,-0.979044318,20.98020935,-5.544454575,-35.54252243,2,20724.34949
251.612,25.1612,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.71378899,-6.725151062,-33.37987518,279.4940796,266.0354004,10,20728.21812,-0.150604248,-0.187576294,-0.917694092,20728.2025,-1.367723636,0.555632342,-0.523584395,20728.2025,0.466779511,-0.125820687,0.162379839,-1.28989315,0.479733467,-0.518972397,-0.081560351,0.06423983,0.201166525,-0.093238069,0.042243265,-0.225098372,-0.968944215,-0.123838209,-0.161667198,-0.979044318,20.98020935,-5.544454575,-35.54252243,2,20724.34949
261.276,26.1276,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.71378899,-6.725151062,-33.37987518,279.4940796,266.0354004,10,20728.22779,-0.120437622,-0.217391968,-0.893203735,20728.22248,-0.801534523,0.788357468,-0.591847871,20728.22248,0.453102278,-0.110216939,0.145640041,-0.723704576,0.712458968,-0.587235868,-0.041774802,-0.04245057,0.065715626,-0.083128226,0.037213418,-0.219777741,-0.971289146,-0.108829446,-0.145125732,-0.983409703,21.12176895,-3.505627155,-35.7178154,2,20724.34949
270.973,27.0973,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.71378899,-6.725151062,-33.37987518,279.4940796,266.0354004,10,20728.23749,0.243927002,-0.363998413,-1.146759033,20728.23247,-0.650791349,0.817338786,-0.547823688,20728.23247,0.446808971,-0.102031509,0.140225066,-0.572961628,0.741440535,-0.543211758,-0.019582801,-0.07762599,0.091831177,-0.079495196,0.034103635,-0.217235337,-0.972278902,-0.100854822,-0.139765978,-0.985034883,21.12176895,-3.505627155,-35.7178154,2,20724.34949
280.653,28.0653,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.71378899,-6.725151062,-33.37987518,279.4940796,266.0354004,10,20728.24717,0.296478271,-0.417053223,-1.383911133,20728.23247,-0.650791349,0.817338786,-0.547823688,20728.23247,0.446808971,-0.102031509,0.140225066,-0.572961628,0.741440535,-0.543211758,-0.019582801,-0.07762599,0.091831177,-0.079495196,0.034103635,-0.217235337,-0.972278902,-0.100854822,-0.139765978,-0.985034883,21.12176895,-3.505627155,-35.7178154,2,20724.34949
290.322,29.0322,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.71378899,-6.725151062,-33.37987518,279.4940796,266.0354004,10,20728.25683,0.143112183,-0.337265015,-1.021377563,20728.25247,-0.712705051,-0.87282335,0.290324506,20728.25247,0.445141365,-0.1056678,0.129686432,-0.634875536,-0.948721349,0.294936419,0.40106383,-0.287730008,-0.397839457,-0.074743752,0.037115092,-0.216628837,-0.972680723,-0.104585573,-0.129323214,-0.986071706,21.90933037,-2.275934219,-35.3409462,2,20724.34949
300.003,30.0003,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.64394188,-5.118644714,-33.7820816,281.6061401,268.1474609,10,20728.26652,0.014892578,-0.322265625,-0.814193726,20728.26246,-0.85806571,-1.018930227,0.594221014,20728.26246,0.449568513,-0.11731757,0.121645447,-0.780236483,-1.09482801,0.598832905,0.259295881,-0.215919361,-0.035590272,-0.072197243,0.04351911,-0.218627337,-0.972160343,-0.116183683,-0.121345662,-0.985787272,21.90933037,-2.275934219,-35.3409462,2,20724.34949
309.693,30.9693,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,20.64394188,-5.118644714,-33.7820816,281.6061401,268.1474609,10,20728.27621,0.046478271,-0.273895264,-0.718780518,20728.26246,-0.85806571,-1.018930227,0.594221014,20728.26246,0.449568513,-0.11731757,0.121645447,-0.780236483,-1.09482801,0.598832905,0.259295881,-0.215919361,-0.035590272,-0.072197243,0.04351911,-0.218627337,-0.972160343,-0.116183683,-0.121345662,-0.985787272,21.90933037,-2.275934219,-35.3409462,2,20724.34949
319.373,31.9373,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.06302834,-4.350311279,-33.7820816,281.1417847,267.6831055,10,20728.28589,-0.008651733,-0.142807007,-0.630813599,20728.28242,-0.806494394,0.163221415,0.811076895,20728.28242,0.463046117,-0.124899378,0.105009327,-0.728665352,0.087323889,0.815688789,0.170366958,-0.169078812,0.267964184,-0.065281358,0.048641477,-0.225509446,-0.97083358,-0.123888686,-0.104816444,-0.986744702,21.36945915,-1.733454466,-35.70045471,2,20724.34949
329.028,32.9028,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.06302834,-4.350311279,-33.7820816,281.1417847,267.6831055,10,20728.29554,-0.095748901,-0.016983032,-0.644622803,20728.29241,-0.823802811,0.636453156,0.658907066,20728.29241,0.469239169,-0.121152779,0.096771892,-0.745974004,0.560555875,0.663518906,0.111639425,-0.046186086,0.357211918,-0.061012957,0.047588417,-0.22892714,-0.970363399,-0.120291159,-0.096620925,-0.988025546,21.36945915,-1.733454466,-35.70045471,2,20724.34949
338.731,33.8731,1478282699,37.35286837,-122.0355891,53.01953,0,2.109375,6,10,1478282699,21.06302834,-4.350311279,-33.7820816,281.1417847,267.6831055,10,20728.30524,-0.090072632,0.053604126,-0.935287476,20728.29241,-0.823802811,0.636453156,0.658907066,20728.29241,0.469239169,-0.121152779,0.096771892,-0.745974004,0.560555875,0.663518906,0.111639425,-0.046186086,0.357211918,-0.061012957,0.047588417,-0.22892714,-0.970363399,-0.120291159,-0.096620925,-0.988025546,21.36945915,-1.733454466,-35.70045471,2,20724.34949
