time(ms),time (ds),time_raw,x_accel,y_accel,z_accel,g_measured
4903.769,490.3769,5334.878986,-0.250061,-0.972427,0.039536,1.004843
4933.309,493.3309,5334.908526,-0.122131,-0.966034,0.042572,0.974654
4962.851,496.2851,5334.938068,-0.309235,-1.009583,0.142258,1.06542
4992.393,499.2393,5334.96761,-0.367889,-0.812927,0.314636,0.946144
5021.938,502.1938,5334.997155,-0.169785,-0.950211,-0.20105,0.985976
5051.48,505.148,5335.026697,0.852234,-1.048355,-0.086334,1.353811
5081.022,508.1022,5335.056239,-0.224396,-0.819809,0.111679,0.85727
5110.565,511.0565,5335.085782,-1.211685,-2.153549,0.22081,2.480869
5140.1,514.01,5335.115317,0.195908,-1.399155,-0.077896,1.414949
5169.647,516.9647,5335.144864,0.371674,-0.473297,0.423218,0.735707
5199.188,519.9188,5335.174405,0.476913,-0.63884,0.565445,0.97739
5228.733,522.8733,5335.20395,0.249405,-1.042938,0.469971,1.17081
5258.277,525.8277,5335.233494,0.339905,-1.275604,0.411942,1.382895
5287.819,528.7819,5335.263036,0.460724,-1.356598,0.518555,1.523655
5317.356,531.7356,5335.292573,0.350021,-1.077835,0.525497,1.249156
5346.902,534.6902,5335.322119,0.233109,-0.637589,0.46109,0.820648
5376.445,537.6445,5335.351662,0.207428,-0.582153,0.517639,0.806151
5405.988,540.5988,5335.381205,0.225067,-0.575058,0.353912,0.711759
5435.529,543.5529,5335.410746,0.36969,-0.554977,0.32872,0.743456
5465.069,546.5069,5335.440286,0.39061,-0.475128,0.317307,0.692103
5494.59,549.459,5335.469807,0.173981,-0.526596,0.243515,0.6057
5524.147,552.4147,5335.499364,0.100601,-0.821594,0.316498,0.886176
5553.687,555.3687,5335.528904,0.235352,-0.792282,0.863052,1.194973
5583.226,558.3226,5335.558443,-0.357788,-1.085342,0.766953,1.376298
5612.764,561.2764,5335.587981,0.008087,-1.31427,0.152115,1.323068
5642.301,564.2301,5335.617518,0.260223,-1.464218,-0.341476,1.525863
5671.825,567.1825,5335.647042,0.173752,-1.632309,-0.088928,1.643937
5701.377,570.1377,5335.676594,-0.121918,-1.469147,0.152435,1.482057
5730.916,573.0916,5335.706133,-0.108582,-1.097519,0.138275,1.111511
5760.457,576.0457,5335.735674,-0.000504,-0.969666,0.127762,0.978046
5790,579,5335.765217,-0.046432,-0.985123,0.235001,1.013828
5819.542,581.9542,5335.794759,-0.114182,-0.932083,0.211548,0.962584
5849.083,584.9083,5335.8243,-0.028427,-0.911789,0.16954,0.927853
5878.627,587.8627,5335.853844,-0.061157,-0.949341,0.187134,0.96954
5908.169,590.8169,5335.883386,-0.076492,-0.937363,0.222687,0.966483
5937.706,593.7706,5335.912923,-0.111816,-0.953323,0.265167,0.995812
5967.247,596.7247,5335.942464,-0.044876,-0.973618,0.255234,1.007516
5996.786,599.6786,5335.972003,0.068176,-1.019714,0.263748,1.055475
6026.331,602.6331,5336.001548,0.045151,-1.072952,0.39119,1.142932
6055.871,605.5871,5336.031088,0.24968,-1.027451,0.408585,1.13355
6085.416,608.5416,5336.060633,0.371872,-0.98291,0.5466,1.184556
6114.961,611.4961,5336.090178,0.241592,-0.9617,0.388565,1.064996
6144.506,614.4506,5336.119723,0.159088,-0.969818,0.364975,1.048362
6174.052,617.4052,5336.149269,-0.126572,-0.914856,0.133041,0.933103
6203.594,620.3594,5336.178811,-0.383698,-0.902023,0.043655,0.981211
6233.139,623.3139,5336.208356,-0.418213,-0.897415,0.018524,0.990252
6262.683,626.2683,5336.2379,-0.33284,-0.797821,0.13269,0.87459
6292.228,629.2228,5336.267445,-0.055298,-1.132431,0.185013,1.148777
6321.771,632.1771,5336.296988,0.268753,-0.940994,-0.26358,1.013495
6351.315,635.1315,5336.326532,-0.256622,-1.29718,0.406372,1.383355
6380.856,638.0856,5336.356073,-0.347946,-1.610611,-0.529785,1.73084
6410.399,641.0399,5336.385616,0.177811,-0.802139,0.443634,0.933732
6439.882,643.9882,5336.415099,0.084137,-0.775513,0.34436,0.852692
6469.423,646.9423,5336.44464,0.092834,-0.760345,0.199188,0.791467
6498.969,649.8969,5336.474186,0.047791,-0.814636,0.085739,0.820529
6528.515,652.8515,5336.503732,-0.050217,-0.826889,0.033615,0.829094
6558.058,655.8058,5336.533275,-0.131012,-0.866943,-0.023834,0.877111
6587.601,658.7601,5336.562818,-0.188263,-0.887619,-0.078522,0.910756
6617.147,661.7147,5336.592364,-0.205505,-0.918579,-0.103241,0.946931
6646.694,664.6694,5336.621911,-0.231445,-0.99762,-0.157593,1.03617
