time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
3840.614,384.0614,0.260559,-0.316177,0.238602,0.47412,3723.07301
3870.156,387.0156,0.041382,-0.316956,0.508972,0.601021,3723.102552
3899.699,389.9699,0.172928,-0.577896,0.359024,0.701973,3723.132095
3929.243,392.9243,0.613403,-0.891357,0.712723,1.295668,3723.161639
3958.786,395.8786,0.002823,-1.329926,0.612366,1.464139,3723.191182
3988.333,398.8333,0.086105,-1.205719,0.422745,1.28058,3723.220729
4017.879,401.7879,0.068283,-1.745163,-0.131226,1.751421,3723.250275
4047.427,404.7427,0.018387,-1.60228,0.049484,1.603149,3723.279823
4076.971,407.6971,-0.221008,-1.525116,0.332947,1.576603,3723.309367
4106.516,410.6516,0.029587,-1.143097,0.253433,1.171228,3723.338912
4136.058,413.6058,0.067627,-1.103256,0.281158,1.140525,3723.368454
4165.603,416.5603,0.025162,-1.006866,0.260605,1.04035,3723.397999
4195.15,419.515,-0.011551,-0.933502,0.248428,0.966062,3723.427546
4224.697,422.4697,-0.045349,-0.938675,0.308456,0.989097,3723.457093
4254.245,425.4245,-0.023804,-0.945343,0.277786,0.985599,3723.486641
4283.786,428.3786,0.136612,-1.002762,0.232224,1.038326,3723.516182
4313.332,431.3332,-0.020844,-0.975876,0.208633,0.998146,3723.545728
4342.878,434.2878,-0.208862,-0.930328,0.169724,0.968473,3723.575274
4372.422,437.2422,-0.136215,-0.92041,0.055298,0.932077,3723.604818
4401.965,440.1965,-0.126877,-0.985931,0.104065,0.999494,3723.634361
4431.509,443.1509,-0.192001,-0.950623,0.202957,0.990828,3723.663905
4461.048,446.1048,-0.038895,-0.968826,0.197144,0.989446,3723.693444
4490.593,449.0593,0.018646,-0.963852,0.213837,0.987464,3723.722989
4520.134,452.0134,-0.223328,-0.979385,0.218201,1.027951,3723.75253
4549.674,454.9674,-0.101471,-1.043228,0.19046,1.065315,3723.78207
4579.214,457.9214,0.005585,-1.015778,0.254166,1.047108,3723.81161
4608.754,460.8754,0.31395,-1.127197,0.219376,1.190489,3723.84115
4638.293,463.8293,0.107758,-1.024155,0.528061,1.157304,3723.870689
4667.843,466.7843,0.357376,-0.746994,0.705643,1.087957,3723.900239
4697.386,469.7386,0.22464,-0.871674,0.190079,0.920004,3723.929782
4726.925,472.6925,-0.595398,-2.071075,0.387344,2.189495,3723.959321
4756.466,475.6466,-0.109344,-1.11911,0.192459,1.140791,3723.988862
4786.008,478.6008,0.271988,-0.604385,0.56192,0.868915,3724.018404
4815.548,481.5548,0.605087,-0.591797,0.409821,0.940376,3724.047944
4845.095,484.5095,0.544754,-0.884766,0.892776,1.369897,3724.077491
4874.641,487.4641,0.143387,-1.525818,0.683945,1.678231,3724.107037
4904.187,490.4187,0.371628,-1.744492,0.592972,1.879621,3724.136583
4933.731,493.3731,0.210846,-1.28894,0.415955,1.370708,3724.166127
4963.277,496.3277,0.180664,-0.768692,0.437759,0.902862,3724.195673
