time (ms),time (ds),accelerometerTimestamp_sinceReboot,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
193.603,19.3603,20029.91556,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.06983948,-8.454902649,-34.19589996,282.2914429,268.8327637,10,20029.91556,-0.042663574,-0.217712402,-1.005203247,20029.90206,-0.457594459,0.153602876,-0.104029197,20029.90206,1.466172652,-0.045554861,0.192757541,-0.381169885,0.075637214,-0.099585854,0.024416778,-0.026344676,-0.013541809,-0.086660752,-0.047530735,-0.664259379,-0.740938742,-0.044695709,-0.191566095,-0.980461478,21.76829147,-5.739462852,-30.47838593,2
203.281,20.3281,20029.92524,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.06983948,-8.454902649,-34.19589996,282.2914429,268.8327637,10,20029.92524,-0.064544678,-0.219909668,-0.984069824,20029.91205,-0.329292945,0.190790458,-0.241406232,20029.91205,1.463755649,-0.042702289,0.19190229,-0.25286442,0.112826206,-0.236961365,-0.000757901,-0.026985794,-0.024454923,-0.085455904,-0.048198821,-0.663520672,-0.741697027,-0.041905671,-0.190726608,-0.980748296,21.76829147,-5.739462852,-30.47838593,2
212.958,21.2958,20029.93492,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,23.47612762,-8.559677124,-34.63162994,281.8940125,268.4353333,10,20029.93492,-0.063079834,-0.223861694,-0.946807861,20029.93203,-0.259685371,0.387770369,-0.53302823,20029.93203,1.45530424,-0.039290216,0.191451528,-0.183253974,0.309800208,-0.528583288,-0.025982253,-0.029625567,-0.003098418,-0.084364843,-0.04895784,-0.660543373,-0.744424714,-0.038562424,-0.190284103,-0.980971396,21.90623474,-5.452687263,-30.43216896,2
222.632,22.2632,20029.94459,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,23.47612762,-8.559677124,-34.63162994,281.8940125,268.4353333,10,20029.94459,-0.06741333,-0.214813232,-0.926513672,20029.94202,-0.249699315,0.502466859,-0.632229915,20029.94202,1.449068293,-0.034019935,0.18984399,-0.173267916,0.42449671,-0.627784967,-0.029677557,-0.035156004,0.034657598,-0.082184103,-0.050130259,-0.658500387,-0.746397998,-0.033402279,-0.188705698,-0.981465459,21.90623474,-5.452687263,-30.43216896,2
232.314,23.2314,20029.95427,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,23.47612762,-8.559677124,-34.63162994,281.8940125,268.4353333,10,20029.95427,-0.075469971,-0.186752319,-0.93800354,20029.94202,-0.249699315,0.502466859,-0.632229915,20029.94202,1.449068293,-0.034019935,0.18984399,-0.173267916,0.42449671,-0.627784967,-0.029677557,-0.035156004,0.034657598,-0.082184103,-0.050130259,-0.658500387,-0.746397998,-0.033402279,-0.188705698,-0.981465459,21.90623474,-5.452687263,-30.43216896,2
241.992,24.1992,20029.96395,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.13968658,-7.75642395,-34.12885284,283.0444641,269.5857849,10,20029.96395,-0.067138672,-0.192932129,-0.945098877,20029.96197,-0.17811754,0.245041979,-0.656189577,20029.96197,1.435940207,-0.026769526,0.188115043,-0.101687156,0.167070001,-0.651745021,-0.04917584,0.000255205,0.04400298,-0.079494074,-0.051743913,-0.653943999,-0.750573451,-0.026294131,-0.187007532,-0.98200649,22.24518585,-4.950007915,-30.27178574,2
251.642,25.1642,20029.9736,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.13968658,-7.75642395,-34.12885284,283.0444641,269.5857849,10,20029.9736,-0.053100586,-0.205459595,-0.937835693,20029.972,-0.169497687,0.070270435,-0.666490684,20029.972,1.429361907,-0.025913143,0.187543459,-0.093067668,-0.007702765,-0.662046373,-0.041682757,-0.006486135,0.037036493,-0.079170212,-0.051617746,-0.651526117,-0.752716019,-0.025455913,-0.186445996,-0.982135355,22.24518585,-4.950007915,-30.27178574,2
261.348,26.1348,20029.98331,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.13968658,-7.75642395,-34.12885284,283.0444641,269.5857849,10,20029.98331,-0.057830811,-0.195739746,-0.923248291,20029.972,-0.169497687,0.070270435,-0.666490684,20029.972,1.429361907,-0.025913143,0.187543459,-0.093067668,-0.007702765,-0.662046373,-0.041682757,-0.006486135,0.037036493,-0.079170212,-0.051617746,-0.651526117,-0.752716019,-0.025455913,-0.186445996,-0.982135355,22.24518585,-4.950007915,-30.27178574,2
271.021,27.1021,20029.99298,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.13968658,-7.75642395,-34.12885284,283.0444641,269.5857849,10,20029.99298,-0.06741333,-0.1847229,-0.907928467,20029.99197,-0.165557273,0.057156763,-0.723205629,20029.99197,1.415142547,-0.024193657,0.185988178,-0.089127481,-0.020816201,-0.718761325,-0.034056716,-0.010821987,0.059218101,-0.07839186,-0.051200775,-0.646280513,-0.757333939,-0.023774093,-0.184917763,-0.9824664,22.37528801,-4.425210953,-30.257164,2
280.696,28.0696,20030.00266,1478281985,37.35291657,-122.0347936,42.72882,0,-1,12,10,1478281986,24.13968658,-7.75642395,-34.12885284,283.0444641,269.5857849,10,20030.00266,-0.081604004,-0.12701416,-1.029174805,20030.00197,-0.227681897,-0.106349876,-0.781416738,20030.00197,1.4073861,-0.023947291,0.184910183,-0.151252329,-0.18432261,-0.776972413,-0.043876525,-0.000864652,0.074742466,-0.078101808,-0.050642284,-0.643385415,-0.759862274,-0.023536807,-0.183858246,-0.982670963,22.37528801,-4.425210953,-30.257164,2
