time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
6145.179,614.5179,0.354248,-1.183731,0.609802,1.377886,3562.412482
6174.724,617.4724,-0.065491,-1.401825,0.721527,1.577975,3562.442027
6204.269,620.4269,0.305664,-1.669357,0.501572,1.769677,3562.471572
6233.813,623.3813,0.345688,-1.30986,0.454163,1.42881,3562.501116
6263.353,626.3353,0.180801,-0.784576,0.400375,0.899194,3562.530656
6292.896,629.2896,0.229507,-0.55928,0.417953,0.734951,3562.560199
6322.441,632.2441,0.223221,-0.454422,0.234497,0.557957,3562.589744
6351.985,635.1985,0.403397,-0.37088,0.254181,0.60406,3562.619288
6381.528,638.1528,0.32225,-0.215179,0.258743,0.465935,3562.648831
6411.07,641.107,0.146729,-0.270462,0.310425,0.437084,3562.678373
6440.614,644.0614,0.053162,-0.604126,0.65451,0.892288,3562.707917
6470.157,647.0157,0.353516,-0.876038,0.61673,1.128171,3562.73746
6499.702,649.9702,0.315857,-1.388306,0.976913,1.726707,3562.767005
6529.244,652.9244,-0.159821,-1.052521,0.701889,1.275143,3562.796547
6558.788,655.8788,0.036102,-1.56192,-0.22171,1.57799,3562.826091
6588.332,658.8332,-0.260117,-2.172516,-0.334503,2.213454,3562.855635
6617.877,661.7877,-0.117035,-1.371582,0.030472,1.376903,3562.88518
6647.422,664.7422,-0.003342,-1.110962,0.053299,1.112245,3562.914725
6676.967,667.6967,-0.012634,-1.094864,0.142487,1.104169,3562.94427
6706.512,670.6512,-0.03537,-1.055954,0.153656,1.067661,3562.973815
6736.057,673.6057,-0.011444,-1.008102,0.167404,1.021971,3563.00336
6765.602,676.5602,-0.018082,-0.99762,0.28978,1.039011,3563.032905
6795.141,679.5141,0.065811,-1.013565,0.208694,1.036918,3563.062444
6824.685,682.4685,-0.06282,-0.982864,0.176468,1.000555,3563.091988
6854.226,685.4226,-0.237564,-0.944122,0.179413,0.989946,3563.121529
6883.769,688.3769,-0.177048,-0.942307,0.08316,0.962394,3563.151072
6913.313,691.3313,-0.0952,-0.950089,0.098053,0.959867,3563.180616
6942.856,694.2856,-0.293655,-0.968323,0.194611,1.030415,3563.210159
6972.4,697.24,-0.03035,-0.978897,0.152542,0.991176,3563.239703
7001.944,700.1944,0.017319,-0.927078,0.210114,0.950748,3563.269247
7031.49,703.149,-0.180267,-1.021881,0.259338,1.069576,3563.298793
7061.034,706.1034,-0.102737,-0.962616,0.215591,0.991798,3563.328337
7090.578,709.0578,-0.314743,-1.024261,0.353928,1.128468,3563.357881
7120.122,712.0122,0.561142,-1.317139,0.308578,1.464567,3563.387425
7149.667,714.9667,0.507553,-0.713776,0.488007,1.002615,3563.41697
7179.205,717.9205,0.135727,-1.203491,0.296509,1.246888,3563.446508
7208.755,720.8755,0.159088,-0.354599,1.593796,1.640498,3563.476058
7238.301,723.8301,-0.999161,-2.919769,-2.651413,4.068583,3563.505604
7267.847,726.7847,0.226715,-0.720764,0.374451,0.843276,3563.53515
7297.394,729.7394,0.299377,-0.656647,0.456085,0.853713,3563.564697
7326.942,732.6942,0.079941,-0.689484,0.496078,0.853154,3563.594245
7356.484,735.6484,0.603775,-0.783722,0.614075,1.164411,3563.623787
7386.032,738.6032,0.046768,-1.333618,0.747849,1.529707,3563.653335
7415.578,741.5578,-0.01413,-1.597519,0.73497,1.758536,3563.682881
7445.125,744.5125,0.367661,-1.288818,0.649948,1.489517,3563.712428
7474.672,747.4672,0.321381,-0.953278,0.345078,1.063533,3563.741975
7504.215,750.4215,0.175735,-0.630432,0.360229,0.747056,3563.771518
7533.752,753.3752,0.221008,-0.443085,0.233002,0.547228,3563.801055
7563.296,756.3296,0.377319,-0.362015,0.192108,0.557073,3563.830599
7592.836,759.2836,0.499283,-0.197723,0.205917,0.575135,3563.860139
7622.379,762.2379,0.234482,-0.318634,0.209152,0.447498,3563.889682
7651.922,765.1922,0.206955,-0.48497,0.790909,0.950559,3563.919225
7681.466,768.1466,0.212631,-0.80896,0.625366,1.044371,3563.948769
7710.992,771.0992,0.461899,-1.24855,0.957993,1.640115,3563.978295
7740.553,774.0553,-0.065765,-1.184708,0.771378,1.415232,3564.007856
7770.098,777.0098,0.016754,-1.568832,-0.083069,1.571119,3564.037401
7799.64,779.964,-0.181992,-1.980026,-0.226562,2.001238,3564.066943
7829.185,782.9185,-0.017853,-1.44046,0.023819,1.440768,3564.096488
7858.73,785.873,0.011032,-1.151001,0.074463,1.15346,3564.126033
7888.251,788.8251,0.029297,-1.150436,0.128784,1.157993,3564.155554
7917.816,791.7816,-0.002747,-1.088333,0.170364,1.10159,3564.185119
7947.361,794.7361,-0.081207,-0.949371,0.253113,0.985884,3564.214664
7976.906,797.6906,0.074509,-1.025009,0.266464,1.061696,3564.244209
8006.446,800.6446,0.03717,-0.955811,0.227554,0.983228,3564.273749
8035.992,803.5992,-0.212402,-0.989716,0.145569,1.022664,3564.303295
8065.536,806.5536,-0.24408,-0.889435,0.1147,0.929422,3564.332839
8095.084,809.5084,-0.071899,-1.008301,0.041779,1.011724,3564.362387
8124.626,812.4626,-0.170624,-0.984909,0.193115,1.018063,3564.391929
8154.167,815.4167,-0.205002,-0.942551,0.193069,0.983719,3564.42147
8183.709,818.3709,0.03038,-0.938339,0.162308,0.952758,3564.451012
8213.252,821.3252,-0.071716,-0.968613,0.223923,0.996742,3564.480555
8242.794,824.2794,-0.268631,-0.94899,0.25975,1.019909,3564.510097
8272.335,827.2335,-0.19136,-1.028778,0.251129,1.076136,3564.539638
8301.879,830.1879,-0.023499,-1.027374,0.260635,1.06018,3564.569182
8331.42,833.142,0.597931,-1.239822,0.268906,1.402495,3564.598723
8360.959,836.0959,0.257202,-0.99144,0.645996,1.210957,3564.628262
8390.498,839.0498,-0.269806,-0.588303,0.996597,1.188319,3564.657801
8420.038,842.0038,0.570267,-0.433029,0.400223,0.820303,3564.687341
8449.579,844.9579,-1.237015,-3.622406,-2.652481,4.657004,3564.716882
8479.121,847.9121,0.262375,-0.708023,0.611694,0.971755,3564.746424
8508.66,850.866,0.391968,-0.426193,0.581177,0.820394,3564.775963
8538.202,853.8202,0.454391,-0.628601,0.489777,0.917329,3564.805505
8567.743,856.7743,0.164551,-1.185272,0.663391,1.368223,3564.835046
8597.286,859.7286,-0.115173,-1.478638,0.732803,1.654278,3564.864589
8626.823,862.6823,0.477478,-1.489059,0.654053,1.695013,3564.894126
8656.361,865.6361,0.477997,-1.17836,0.505005,1.368226,3564.923664
8685.899,868.5899,0.195938,-0.747177,0.387009,0.863968,3564.953202
8715.441,871.5441,0.182404,-0.513229,0.431168,0.69468,3564.982744
8744.978,874.4978,0.230179,-0.442459,0.295227,0.579579,3565.012281
8774.519,877.4519,0.361511,-0.348846,0.242569,0.557874,3565.041822
8804.058,880.4058,0.351212,-0.23587,0.286621,0.511015,3565.071361
8833.598,883.3598,0.17894,-0.313492,0.302414,0.470904,3565.100901
8863.138,886.3138,0.012054,-0.614227,0.633362,0.882365,3565.130441
8892.674,889.2674,0.318939,-1.028015,0.594009,1.229384,3565.159977
8922.211,892.2211,0.300995,-1.507675,1.072174,1.874364,3565.189514
8951.748,895.1748,-0.123779,-1.011963,0.716644,1.246182,3565.219051
8981.287,898.1287,0.041214,-1.693527,-0.265945,1.714777,3565.24859
9010.827,901.0827,-0.409195,-2.202316,-0.296173,2.259503,3565.27813
9040.368,904.0368,-0.030838,-1.272232,-0.080368,1.275141,3565.307671
9069.91,906.991,0.041321,-1.149384,0.060135,1.151697,3565.337213
9099.45,909.945,-0.082047,-1.100021,0.169617,1.116041,3565.366753
9128.992,912.8992,-0.125168,-1.025543,0.199615,1.052261,3565.396295
9158.533,915.8533,-0.042847,-0.991974,0.146103,1.003591,3565.425836
9188.074,918.8074,0.024933,-0.926514,0.1689,0.942113,3565.455377
9217.614,921.7614,-0.1194,-0.931015,0.197723,0.959239,3565.484917
9247.152,924.7152,-0.088028,-0.969131,0.198486,0.993157,3565.514455
9276.694,927.6694,-0.082214,-0.992905,0.166306,1.010087,3565.543997
9306.235,930.6235,-0.139999,-0.951309,0.196945,0.981517,3565.573538
9335.777,933.5777,-0.269409,-0.998184,0.219025,1.056847,3565.60308
