time (ms),time (ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
3575.15,357.515,-0.501907,-1.482407,-0.274628,1.588981,4009.818823
3604.693,360.4693,-0.000824,-1.926987,-0.246109,1.942639,4009.848366
3634.239,363.4239,0.240356,-2.184875,0.348068,2.225445,4009.877912
3663.785,366.3785,0.134872,-1.437256,1.133591,1.835463,4009.907458
3693.331,369.3331,0.81601,-1.143936,1.126846,1.801179,4009.937004
3722.877,372.2877,0.27948,-1.334396,1.764145,2.229558,4009.96655
3752.418,375.2418,1.020599,-0.045685,-0.193207,1.03973,4009.996091
3781.964,378.1964,1.608582,0.141037,0.590881,1.719467,4010.025637
3811.509,381.1509,-0.07962,0.349747,3.109711,3.130329,4010.055182
3841.057,384.1057,0.802658,0.347824,0.950943,1.292105,4010.08473
3870.603,387.0603,2.033569,-0.232437,1.039963,2.295856,4010.114276
3900.151,390.0151,0.896637,-1.012527,1.200775,1.808599,4010.143824
3929.699,392.9699,0.388351,-0.712097,1.023087,1.305605,4010.173372
3959.242,395.9242,0.55101,-0.512131,0.636276,0.98526,4010.202915
3988.789,398.8789,0.683243,-0.394608,0.704697,1.057891,4010.232462
4018.333,401.8333,0.986572,-0.305466,0.554489,1.172217,4010.262006
4047.877,404.7877,0.574432,-0.591187,0.956848,1.262946,4010.29155
4077.424,407.7424,0.17305,-0.657211,1.124237,1.31369,4010.321097
4106.965,410.6965,-0.462891,-0.923553,1.033737,1.461448,4010.350638
4136.514,413.6514,-0.057205,-1.824081,0.817978,1.999908,4010.380187
4166.058,416.6058,0.341827,-1.646194,0.537369,1.765097,4010.409731
4195.602,419.5602,0.558563,-1.166,-0.349182,1.339208,4010.439275
4225.146,422.5146,-0.206375,-0.99234,-0.697189,1.230204,4010.468819
4254.691,425.4691,-0.657883,-0.098312,-0.452316,0.804403,4010.498364
4284.23,428.423,-1.141113,-0.74379,-0.706528,1.534452,4010.527903
4313.776,431.3776,-0.740677,-1.691803,-0.52597,1.920272,4010.557449
4343.32,434.332,-0.048965,-2.057175,-0.430817,2.102372,4010.586993
4372.865,437.2865,0.339355,-2.338898,0.335007,2.387014,4010.616538
4402.404,440.2404,0.347122,-1.498566,1.17981,1.938593,4010.646077
4431.947,443.1947,0.684097,-0.937408,1.243515,1.700898,4010.67562
4461.466,446.1466,0.385559,-1.544418,1.512177,2.195578,4010.705139
4491.03,449.103,0.986099,-0.099075,-0.170258,1.005582,4010.734703
4520.573,452.0573,1.35611,0.274948,1.198502,1.830583,4010.764246
4550.117,455.0117,-0.403976,-0.451126,1.743896,1.846046,4010.79379
4579.662,457.9662,0.927475,0.332855,1.077972,1.460489,4010.823335
4609.208,460.9208,1.663422,-0.058578,1.412109,2.182763,4010.852881
4638.736,463.8736,1.243469,-1.268066,1.288864,2.194397,4010.882409
4668.304,466.8304,0.744873,-0.832474,1.133377,1.591349,4010.911977
4697.848,469.7848,0.315567,-0.436768,0.800613,0.965055,4010.941521
4727.389,472.7389,0.479202,-0.255066,0.833206,0.994448,4010.971062
4756.932,475.6932,0.781342,-0.187897,0.514923,0.954435,4011.000605
4786.477,478.6477,0.886627,-0.354355,0.819382,1.258198,4011.03015
4816.022,481.6022,0.485519,-0.716232,1.063034,1.370678,4011.059695
4845.568,484.5568,-0.457474,-1.023605,1.216339,1.654246,4011.089241
4875.111,487.5111,-0.091751,-0.996536,0.850693,1.313461,4011.118784
4904.656,490.4656,0.053299,-2.306168,1.172256,2.587554,4011.148329
4934.2,493.42,0.476318,-1.103531,-0.425232,1.274944,4011.177873
4963.744,496.3744,0.087372,-0.986221,-0.59201,1.153578,4011.207417
4993.291,499.3291,-0.542694,-0.586014,-0.616882,1.009194,4011.236964
