time(ms), Accel (x), Accel (y), Accel (z)
1478281944506, -0.8143067, 10.700948, -1.6597486#
1478281944615, 1.1759547, 11.223062, -1.8082398#
1478281944720, -2.4213648, 17.78302, -5.362449#
1478281944825, 4.9648757, 9.196876, 1.1088941#
1478281944927, 2.936294, 3.1231055, -0.28979737#
1478281945032, 4.5960426, 7.0509377, -1.7675245#
1478281945135, 0.977168, 9.72857, 1.3052857#
1478281945240, 8.787327, 12.382252, -6.06419#
1478281945344, -18.18299, 18.513502, -14.441968#
1478281945449, -0.8933423, 10.317744, -2.047742#
1478281945553, -1.8441651, 10.394385, -0.15328126#
1478281945658, -1.5447876, 10.466236, -1.0274634#
1478281945763, -0.102985844, 10.35367, -1.5495777#
1478281945869, -1.8250049, 11.381133, -1.0202783#
1478281945973, -0.17004639, 15.658638, -3.661985#
1478281946078, -0.4047583, 13.294754, -0.014370117#
1478281946185, 10.31535, 6.2270513, -4.026028#
1478281946290, 0.6562354, 4.624783, 1.5423926#
1478281946393, 5.2666483, 12.329561, -2.7901978#
1478281946496, 2.2848487, 15.974781, -7.31439#
1478281946600, 1.8824854, 8.998089, -12.86365#
1478281946702, 1.0178833, 10.394385, -0.7161109#
1478281946807, -1.104104, 10.475816, -1.1376343#
1478281946910, -0.2921924, 10.691368, -2.0070264#
1478281947014, 0.33769777, 10.727293, -1.6022681#
1478281947118, -0.30416748, 10.669812, -1.3819263#
1478281947223, 1.7794995, 11.024276, -1.7747096#
1478281947329, -2.071692, 16.03226, -6.373147#
1478281947434, 2.5938063, 8.341853, 2.6441016#
1478281947539, -1.7627344, 2.42855, 2.0525317#
1478281947643, 5.0606766, 5.3552637, -0.34009278#
1478281947747, 3.6140847, 12.013418, -0.32572266#
1478281947851, 6.974297, 13.012141, -6.246211#
1478281947955, -0.8765772, 10.260264, -3.1183155#
1478281948059, -0.73527104, 7.1060233, -5.022356#
1478281948163, 1.3076807, 9.642349, -0.63707525#
1478281948269, -1.4585669, 10.298584, -0.9867481#
1478281948375, -2.198628, 10.698553, -1.8800904#
1478281948480, -1.839375, 11.0051155, -2.1028273#
1478281948584, 3.04407, 9.627979, -1.1927198#
1478281948688, 0.852627, 10.8997345, -0.40954837#
1478281948792, 0.100590825, 11.02667, -0.8669971#
1478281948897, 0.34967285, 9.922566, 0.6346802#
1478281949002, 1.0609937, 10.581197, -0.20357667#
1478281949104, 1.8896705, 10.523716, -0.46702883#
1478281949210, 1.8633252, 10.248289, 0.102985844#
1478281949314, 1.6142433, 10.691368, -0.7664063#
1478281949418, 2.0812721, 10.521321, -0.07185059#
