time (ms),  accel x,  accel y,  accel z,  magneto x,  magneto y,  magneto z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1477622577380, -19.60911, 19.608511, -3.5122938, 14.402, 163.316, 64.524, 0.77488256, -7.9513273, -4.5448375, -13.497457, 23.562487, -10.083759, 344.27438, 23.777964, -42.923717
1477622577486, 3.5344403, 10.9660425, -1.1288661, 17.613, 175.006, 49.095, 0.39736784, -2.141999, -1.3753631, 8.225494, 2.5086517, 0.49499834, 275.26028, -120.41131, -29.015785
1477622577588, 11.350311, 3.50571, -2.6120741, 18.173, 175.907, 47.807, 1.0567969, -0.08093964, 0.1872302, 7.196666, -4.89192, 0.28576326, 109.88534, -121.09413, 26.317974
1477622577700, -6.331466, 19.608511, -6.7989345, 15.705, 166.078, 53.408, -1.6701056, 2.4468207, 3.5891387, -11.761486, 12.065096, -3.6712852, 95.30282, -129.71661, 60.058395
1477622577802, -17.898453, 15.138537, -0.15023616, -1.319, 147.044, 58.761, -1.8506162, 2.4807239, 6.153551, -26.844473, 11.19036, -0.8925439, 29.512844, -23.740946, 85.256676
1477622577903, -10.260351, -9.529521, -0.87208796, -11.843, 140.943, 70.457, -0.6951646, 2.912911, 0.462425, -1.4075298, -11.979356, 2.5624785, 297.93796, -165.53352, -68.79559
1477622578005, -6.2991447, -7.7829514, 2.585738, -11.239, 140.583, 67.451, 0.81245077, -0.6899723, -2.2815816, 1.3135138, -1.6703663, 1.6615527, 346.77234, 38.55827, -83.0781
1477622578106, -19.329588, 19.608511, -8.671799, 3.7, 152.066, 71.205, 2.069917, -3.2641585, -6.2845817, -11.734787, 24.685087, -12.237995, 346.88528, 31.175869, -64.847244
1477622578208, -6.0836663, 18.107946, -6.5720835, 6.565, 167.77, 57.135, 2.6700919, -2.3331997, -2.8325822, -4.5034075, 24.544785, -13.799828, 358.7849, 41.023983, -12.332957
1477622578310, 10.404003, 4.146757, -2.2661119, 7.231, 172.23, 44.96, 0.49174652, -0.83260936, -0.6542367, 11.567925, -5.3493814, -0.11226606, 210.03583, -104.4567, -6.9877725
1477622578418, 5.0559554, 10.943297, -5.858013, 7.118, 169.813, 50.5, 0.9636399, 1.9682078, 0.8744536, -0.9156909, 4.2790246, -1.8458734, 87.02865, -137.19022, 56.104237
1477622578530, -19.60911, 19.608511, -19.608511, 5.027, 158.917, 77.786, -2.9746084, 4.192979, 4.932126, -28.338215, 15.176251, -19.035618, 42.67397, -153.13019, 86.245056
1477622578633, -5.5000796, -8.591593, -3.8953662, -15.559, 143.829, 81.903, 1.9633209, 6.0686407, 1.2837334, 1.0734944, -13.62255, 1.3627682, 263.44934, -149.13515, -51.344044
1477622578747, -1.9949685, -7.5453267, 7.6051817, -16.059, 142.402, 78.526, -2.6676486, 2.5705209, -0.14782938, 5.9995446, -1.9575415, 6.5879135, 339.87253, 34.735966, -82.74833
1477622578850, -12.822147, 19.600132, -19.16738, -2.458, 148.036, 79.156, 3.6551123, -3.755294, -4.14075, -5.352498, 23.934544, -23.813625, 344.91074, 26.230726, -58.1177
1477622578959, -1.8357542, 17.10717, -6.1249666, 5.513, 161.958, 55.931, 0.6973027, -2.5115724, -2.6407704, -1.956027, 23.425402, -13.624025, 0.37330636, 40.11174, 0.9188537
1477622579061, 9.724648, 3.7960067, -4.179079, 5.175, 167.72, 44.865, 1.641395, -1.5894713, -0.7501425, 11.024018, -5.653378, -1.9006753, 212.08331, -105.51314, -7.8295474
1477622579172, 1.1546037, 14.123995, -5.746084, 4.194, 165.263, 49.307, 0.14263703, 1.1646146, 1.1713341, -3.4764154, 6.7949157, -1.1625681, 107.99913, -131.63795, 45.29537
