time (ms),  accel x,  accel y,  accel z,  gryo x,  gyro y,  gyro z,  linear accel x,  linear accel y,  linear accel z,  orientation x,  orientation y,  orientation z
1469406543448, 2.6569653, 9.767744, -0.01316811, -0.3155119, -0.6808093, 0.35216382, 0.44212866, 0.2158413, 0.14824966, 249.54056, -103.08812, 13.054692
1469406543551, 1.7788919, 9.357139, 0.29987377, -0.21533, -0.3036, 0.16157386, -0.68820846, -0.1340704, 0.27214113, 245.80328, -75.428406, 14.570744
1469406543656, 1.762731, 9.764751, 0.40402153, -0.1572978, -0.33292156, 0.37568212, -0.9438387, 0.33971596, 0.2874354, 244.62021, -73.96354, 16.022377
1469406543758, 1.198298, 9.366715, 0.8912416, -0.028405234, -0.29749137, 0.7079928, -1.9198358, 0.06981182, 0.76787096, 242.60965, -71.4453, 18.54119
1469406543860, 3.210026, 10.1143055, -0.017357962, 0.06536258, -0.17165314, 1.0928379, -0.7424736, 1.1395149, -0.052877016, 235.79071, -66.23044, 23.768703
1469406543979, 1.899799, 11.66874, -0.40521863, -0.013133603, -0.5170974, 1.2308935, -3.0824676, 3.2253628, -0.16694354, 230.52441, -120.57263, 30.543995
1469406544080, -5.7508726, 14.698603, -5.237316, 0.18387043, -0.87781334, 2.1227567, -11.249029, 6.635172, -4.2772393, 235.48984, -124.69022, 34.28864
1469406544182, 8.6095495, 11.451467, -0.6266823, 0.17562376, -1.3087788, 2.5390613, 1.7987857, 4.613673, 1.1135625, 238.15105, -135.79234, 75.6668
1469406544298, 5.33069, 2.0398598, -0.729633, -1.5176947, -0.32406402, -2.871983, -1.3350906, -4.9307184, 1.0448468, 246.77847, -134.69987, 75.093155
1469406544404, 5.046977, 5.699397, -2.1601684, -1.2403619, -0.49021935, -5.81055, -1.3843527, -1.5420227, -0.62060416, 236.05634, -132.40306, 76.53758
1469406544523, -2.0560207, 9.999982, -1.584363, -1.9242256, 0.1432479, -5.606521, -5.461126, 0.9772911, 0.19517219, 266.5758, -113.06539, 20.676184
1469406544625, 12.320562, 9.143456, -1.7172412, 1.3720033, 3.1202996, 3.755905, 5.890228, 1.8150749, -0.66082525, 230.5175, -131.6441, 80.67043
1469406544730, 17.769167, 9.509171, -0.09935937, -0.6114761, 0.743423, 3.767206, 15.423685, 0.6808157, 3.468452, 278.5589, -115.810165, 14.878409
1469406544839, 7.912238, 11.728596, -2.054225, -0.1863139, -1.3011429, 1.2134838, 2.538145, 3.6850576, -0.44455886, 237.15912, -124.893906, 33.7479
1469406544942, 1.654992, 10.810419, -0.641646, -0.20433442, -0.9773844, 0.44868052, -1.940626, 1.7351027, 0.2967286, 254.69473, -112.26752, 21.61335
1469406545045, 0.9427169, 9.8916445, 0.45729253, 6.1086525E-4, -0.61819565, 1.1484267, -0.92685944, 0.26486397, 0.47133553, 273.06708, -100.99062, 10.990364
1469406545149, -3.1483753, 14.141353, 0.20949265, 0.6835582, -0.5696318, 2.0778582, -3.1292617, 4.3348284, 0.25539207, 349.08536, -90.29075, -0.11167276
1469406545255, -2.594716, 19.608511, 1.0139444, 1.1976013, 0.12461651, 3.55829, -2.8161345, 9.824163, 1.6367776, 61.79451, -93.86494, 1.296374
1469406545358, 8.265982, 9.279925, -0.8206126, 0.009162978, -1.3658947, 0.88422745, 4.726598, 0.21130848, 0.3640104, 23.55514, -112.3706, 21.320166
1469406545459, 6.253655, 1.8854338, -2.2403743, -1.713477, -0.4251622, -4.5689664, -0.13532066, -5.31198, -0.35658896, 246.01616, -132.78296, 73.571884
1469406545561, 9.100361, 14.927249, -6.9605427, -1.5183055, -0.35002577, -7.049385, 3.2476058, 7.547253, -4.2308292, 246.61116, -131.18823, 64.99574
1469406545670, 11.736377, 3.752911, 0.13826515, -1.4010195, -0.6169739, -2.1111503, 6.49974, -4.219104, 2.417521, 246.96175, -125.61785, 33.300007
1469406545771, 2.055422, -4.4179006, -18.27554, -0.08002335, 5.3404894, 0.6792821, -6.0919113, -9.875776, -18.329685, 207.02928, -33.817436, 89.61922
