time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot
174.315,17.4315,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.8555,0.472427368,0.832275391,-0.312744141,20238.84081,-0.111132114,0.061266554,-0.012166385,20238.84081,1.492916182,0.991693306,-0.984208737,-0.035153091,-0.019313585,-0.00988852,0.006041957,0.003652447,-0.011906561,-0.589812878,0.025627168,0.361370106,0.721717163,0.463272631,0.832834363,-0.30292803,37.37635803,27.76667595,-0.685340881,1,20238.74399
184.013,18.4013,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.8652,0.479644775,0.826782227,-0.314651489,20238.85078,-0.126016522,0.059210859,-0.00257501,20238.85078,1.493489672,0.991924341,-0.984217809,-0.05003712,-0.021369278,-0.000296576,0.0090911,-0.000564001,-0.00992728,-0.589863855,0.025538263,0.361506226,0.721610476,0.463336259,0.83283937,-0.302816868,37.37635803,27.76667595,-0.685340881,1,20238.74399
193.674,19.3674,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.87486,0.478637695,0.825073242,-0.315597534,20238.86077,-0.132428082,0.051780107,-0.004783304,20238.86077,1.49427714,0.99230072,-0.984060994,-0.056448042,-0.028800054,-0.002503719,0.016085221,-0.005970355,-0.011937635,-0.589909337,0.025496019,0.361725578,0.721464852,0.463559568,0.832752585,-0.302713841,37.37635803,27.76667595,-0.685340881,1,20238.74399
203.389,20.3389,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.88457,0.475341797,0.830474854,-0.312911987,20238.87078,-0.133502668,0.035873313,-0.008145811,20238.87078,1.494997769,0.992462195,-0.983922721,-0.057522036,-0.044706777,-0.005865082,0.014932849,-0.007602777,-0.012895597,-0.58991898,0.025389535,0.361978681,0.721333766,0.463704854,0.832675993,-0.30270195,37.39098358,27.74669647,-0.696748734,1,20238.74399
213.077,21.3077,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.89426,0.471405029,0.831970215,-0.30770874,20238.87078,-0.133502668,0.035873313,-0.008145811,20238.87078,1.494997769,0.992462195,-0.983922721,-0.057522036,-0.044706777,-0.005865082,0.014932849,-0.007602777,-0.012895597,-0.58991898,0.025389535,0.361978681,0.721333766,0.463704854,0.832675993,-0.30270195,37.39098358,27.74669647,-0.696748734,1,20238.74399
222.756,22.2756,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.74246216,27.85200882,-0.989646912,284.6316528,271.1729736,15,20238.90394,0.472427368,0.836639404,-0.30329895,20238.89077,-0.139856704,0.020033363,-0.001898035,20238.89077,1.496720393,0.992737143,-0.984304984,-0.063875653,-0.060546692,0.000383456,0.007883593,-0.000917426,-0.005308252,-0.590069759,0.024848239,0.362405919,0.721014698,0.463521451,0.83288765,-0.3024005,37.39098358,27.74669647,-0.696748734,1,20238.74399
232.451,23.2451,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.63769531,28.0266304,-0.956123352,284.6895752,271.230896,15,20238.91363,0.477752686,0.83782959,-0.299285889,20238.90076,-0.143012549,0.017968082,0.005555088,20238.90076,1.497933991,0.993190913,-0.984510999,-0.067031845,-0.062611513,0.007836968,0.00891252,0.003637764,-0.001202521,-0.590209702,0.024582387,0.362648655,0.720787186,0.463514835,0.833001614,-0.302096426,37.40561676,27.72625923,-0.72429657,1,20238.74399
242.141,24.2141,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,37.63769531,28.0266304,-0.956123352,284.6895752,271.230896,15,20238.92332,0.476074219,0.833251953,-0.302566528,20238.90076,-0.143012549,0.017968082,0.005555088,20238.90076,1.497933991,0.993190913,-0.984510999,-0.067031845,-0.062611513,0.007836968,0.00891252,0.003637764,-0.001202521,-0.590209702,0.024582387,0.362648655,0.720787186,0.463514835,0.833001614,-0.302096426,37.40561676,27.72625923,-0.72429657,1,20238.74399
251.824,25.1824,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.05678558,27.95678329,-1.023162842,284.754425,271.2957458,15,20238.93301,0.4715271,0.835571289,-0.30682373,20238.92074,-0.134452617,0.015877766,0.008734636,20238.92074,1.500392823,0.994107366,-0.984894545,-0.058472332,-0.064701304,0.011017164,0.012550565,3.82E-05,-0.001069243,-0.590485195,0.024053935,0.36315075,0.720326437,0.463523656,0.833213806,-0.301497281,37.40561676,27.72625923,-0.72429657,1,20238.74399
261.518,26.1518,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.05678558,27.95678329,-1.023162842,284.754425,271.2957458,15,20238.9427,0.470855713,0.841781616,-0.305023193,20238.93073,-0.129095669,0.014844726,0.011925635,20238.93073,1.50136042,0.994255401,-0.984923355,-0.053115394,-0.065734126,0.014208553,0.007978943,0.002341575,-0.005408152,-0.590529609,0.023811575,0.363446983,0.720148651,0.463548154,0.833229721,-0.301415592,37.40561676,27.72625923,-0.72429657,1,20238.74399
271.207,27.1207,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.05678558,27.95678329,-1.023162842,284.754425,271.2957458,15,20238.95239,0.474639893,0.841445923,-0.304336548,20238.94073,-0.131251231,0.016938237,0.008744489,20238.94073,1.502353943,0.994454075,-0.985069082,-0.055271152,-0.063640341,0.011027553,0.007349497,0.008471334,-0.00376589,-0.590607529,0.023539215,0.363702966,0.719964446,0.463506222,0.833310306,-0.301257312,37.42980957,27.69301987,-0.745790482,1,20238.74399
280.895,28.0895,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.05678558,27.95678329,-1.023162842,284.754425,271.2957458,15,20238.96208,0.472229004,0.838775635,-0.301208496,20238.95072,-0.122767199,0.013696371,-0.000898551,20238.95072,1.503257868,0.994593866,-0.985201111,-0.046787206,-0.066882007,0.001384885,0.011183829,0.008062663,-0.003203989,-0.59067073,0.023276804,0.363948037,0.719797268,0.463456064,0.833383262,-0.30113256,37.42980957,27.69301987,-0.745790482,1,20238.74399
290.583,29.0583,1478282194,37.35307327,-122.0347955,55.16296,0.21,359.6484375,6,10,1478282195,38.05678558,27.95678329,-1.023162842,284.754425,271.2957458,15,20238.97177,0.466583252,0.844451904,-0.295425415,20238.96069,-0.107872405,0.001986718,-0.01062841,20238.96069,1.503890124,0.994421387,-0.985371092,-0.031892683,-0.078591332,-0.008344657,0.008943667,0.005298438,-7.32E-05,-0.590681624,0.02296905,0.364176286,0.71968276,0.463285327,0.833477199,-0.301135272,37.43653107,27.68356133,-0.759313583,1,20238.74399
