time(ms),time(ds),locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
212.98,21.298,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.93373299,-9.589080811,-25.5366745,298.8971252,285.438446,10,20946.17648,0.311065674,-0.443710327,-0.847045898,20946.16786,-1.114996306,0.716415367,0.169764003,20946.16786,0.220853979,0.337139078,0.477856084,-1.037152052,0.637923479,0.174066126,-0.00108629,0.006888802,0.059047878,0.21392199,0.187724482,0.145017794,0.94761107,0.29373461,-0.459876478,-0.837993801,30.57447815,-7.549793243,-25.40760803,2
222.663,22.2663,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.93373299,-9.589080811,-25.5366745,298.8971252,285.438446,10,20946.18616,0.336532593,-0.419799805,-0.829193115,20946.17785,-1.029878748,0.630279949,0.112293785,20946.17785,0.225881605,0.340735117,0.469032818,-0.952034533,0.551788151,0.116595909,0.012975111,0.008313437,-0.006322084,0.208964687,0.189662469,0.147175434,0.947998575,0.298090577,-0.452023774,-0.840723813,30.57447815,-7.549793243,-25.40760803,2
232.346,23.2346,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,29.93373299,-9.589080811,-25.5366745,298.8971252,285.438446,10,20946.19584,0.336166382,-0.426559448,-0.80708313,20946.17785,-1.029878748,0.630279949,0.112293785,20946.17785,0.225881605,0.340735117,0.469032818,-0.952034533,0.551788151,0.116595909,0.012975111,0.008313437,-0.006322084,0.208964687,0.189662469,0.147175434,0.947998575,0.298090577,-0.452023774,-0.840723813,30.57447815,-7.549793243,-25.40760803,2
242.031,24.2031,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,30.98145103,-8.750907898,-25.13445282,297.3209839,283.8623047,10,20946.20553,0.327728271,-0.450286865,-0.855300903,20946.19784,-0.689355786,0.403673436,0.085372955,20946.19784,0.23333545,0.345141664,0.455808043,-0.611511827,0.32518211,0.089674965,0.032377977,0.013628555,0.037870791,0.201595827,0.192047292,0.150242043,0.948632852,0.303788394,-0.440187991,-0.844953895,30.84191132,-7.143179893,-25.20111275,2
251.726,25.1726,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,30.98145103,-8.750907898,-25.13445282,297.3209839,283.8623047,10,20946.21522,0.328826904,-0.451766968,-0.877075195,20946.20783,-0.536598464,0.321227029,0.094112917,20946.20783,0.236213065,0.346553836,0.451443303,-0.458754718,0.242735922,0.09841492,0.022097271,-0.014022167,-0.008977795,0.199122193,0.192843973,0.151441785,0.948802898,0.305631012,-0.436264694,-0.846323133,30.84191132,-7.143179893,-25.20111275,2
261.406,26.1406,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,30.98145103,-8.750907898,-25.13445282,297.3209839,283.8623047,10,20946.2249,0.333831787,-0.440185547,-0.862609863,20946.20783,-0.536598464,0.321227029,0.094112917,20946.20783,0.236213065,0.346553836,0.451443303,-0.458754718,0.242735922,0.09841492,0.022097271,-0.014022167,-0.008977795,0.199122193,0.192843973,0.151441785,0.948802898,0.305631012,-0.436264694,-0.846323133,30.84191132,-7.143179893,-25.20111275,2
271.084,27.1084,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,30.98145103,-8.750907898,-25.13445282,297.3209839,283.8623047,10,20946.23458,0.335769653,-0.441070557,-0.844055176,20946.23779,-0.123540581,0.346009873,0.27147625,20946.23779,0.244475573,0.349429389,0.447641859,-0.045697082,0.267519027,0.275778234,0.025202848,-0.007344601,-0.01561701,0.196280166,0.194878603,0.155376399,0.948343082,0.308628947,-0.432840943,-0.84699285,31.05104446,-6.798062325,-25.03924179,2
280.769,28.0769,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,30.98145103,-8.750907898,-25.13445282,297.3209839,283.8623047,10,20946.24427,0.334106445,-0.441223145,-0.880249023,20946.23779,-0.123540581,0.346009873,0.27147625,20946.23779,0.244475573,0.349429389,0.447641859,-0.045697082,0.267519027,0.275778234,0.025202848,-0.007344601,-0.01561701,0.196280166,0.194878603,0.155376399,0.948343082,0.308628947,-0.432840943,-0.84699285,31.05104446,-6.798062325,-25.03924179,2
290.452,29.0452,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,30.98145103,-8.750907898,-25.13445282,297.3209839,283.8623047,10,20946.25395,0.268890381,-0.411529541,-0.83732605,20946.24779,-0.033257023,0.318191025,0.371526418,20946.24779,0.247615107,0.351265546,0.448447459,0.044585027,0.239702269,0.375827134,0.024042899,-0.007656115,-0.034151968,0.196215577,0.19608906,0.157101955,0.947822506,0.310063541,-0.433567017,-0.846097052,31.05104446,-6.798062325,-25.03924179,2
300.121,30.0121,1478282917,37.35298547,-122.0355506,49.34283,0,118.125,4,10,1478282917,31.43546104,-8.436592102,-24.56464386,297.1230469,283.6643677,10,20946.26362,0.254989624,-0.355041504,-0.882293701,20946.25779,-0.035769716,0.404869462,0.498374113,20946.25779,0.252407494,0.352092832,0.450539909,0.042072099,0.326380938,0.502674818,-0.04155948,0.023922089,0.007660792,0.19668051,0.197036434,0.159601934,0.947111738,0.310449868,-0.435451627,-0.844986856,31.22805595,-7.015659332,-24.75749397,2
