time (ms),time (ds),locationTimestamp_since1970,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,altimeterRelativeAltitude,altimeterPressure
271.021,27.1021,1478109661,-0.024276733,-0.171844482,-0.758041382,-0.204853547,0.637565825,-0.255092217,-0.032085156,0.00575761,0.166978331,-0.129631191,0.565567911,-0.248491257,-0.029755868,0.01677415,0.223120421,0.001530641,-0.015745908,0.996388295,0.005677499,-0.166203469,-0.986075163,20.58032799,-12.83773804,-33.48080826,-0.344614,101.4225
280.696,28.0696,1478109661,-0.008804321,-0.183532715,-0.756286621,-0.092962432,0.823929311,-0.260718943,-0.034671441,0.013232938,0.166548222,-0.017740218,0.751931608,-0.254118025,-0.037326183,-0.006065154,0.228035152,0.005150657,-0.016724147,0.996372706,0.013049451,-0.165779322,-0.986076534,20.58032799,-12.83773804,-33.48080826,-0.344614,101.4225
290.383,29.0383,1478109661,0.016998291,-0.178665161,-0.764312744,-0.077859911,0.986284133,-0.212115721,-0.036908111,0.022350236,0.166498563,-0.002637698,0.914286435,-0.205514789,-0.030843643,-0.017802358,0.229638189,0.009599958,-0.017458884,0.996322031,0.022039322,-0.165730357,-0.98592478,21.28478241,-12.56602859,-33.14174271,-0.344614,101.4225
300.056,30.0056,1478109661,0.027542114,-0.176467896,-0.776168823,-0.135126131,1.102228579,-0.134068589,-0.038378504,0.032625257,0.166035684,-0.059904218,1.030231118,-0.127467692,-0.015172587,-0.013391301,0.221410125,0.014661822,-0.017767072,0.996265913,0.032170877,-0.16527386,-0.985722899,21.28478241,-12.56602859,-33.14174271,-0.344614,101.4225
309.722,30.9722,1478109661,0.047897339,-0.158691406,-0.793731689,-0.217053488,1.187291276,-0.078745146,-0.039182285,0.043703038,0.164795385,-0.141831726,1.11529398,-0.072144262,-0.01555511,-0.012417404,0.209341228,0.020159519,-0.017720774,0.996213331,0.043097224,-0.16405049,-0.985510051,21.28478241,-12.56602859,-33.14174271,-0.344614,101.4225
319.415,31.9415,1478109661,0.066421509,-0.125823975,-0.815750122,-0.297998139,1.215020908,-0.045350438,-0.03955345,0.055166083,0.162751634,-0.222776368,1.14302361,-0.03874955,-0.006512126,0.003342682,0.191552311,0.025876047,-0.017461104,0.996161187,0.054409467,-0.162034094,-0.98528403,22.35485458,-12.40435791,-32.49176025,-0.344614,101.4225
329.092,32.9092,1478109661,0.068069458,-0.098266602,-0.831222534,-0.371535739,1.158948851,-0.034152378,-0.039664052,0.066217114,0.159960818,-0.296314299,1.086951852,-0.027551517,0.001097516,0.033455551,0.169319823,0.031406689,-0.017112289,0.99611352,0.065323994,-0.159279525,-0.985069931,22.35485458,-12.40435791,-32.49176025,-0.344614,101.4225
338.761,33.8761,1478109661,0.053131104,-0.063430786,-0.844421387,-0.371535739,1.158948851,-0.034152378,-0.039664052,0.066217114,0.159960818,-0.296314299,1.086951852,-0.027551517,0.001097516,0.033455551,0.169319823,0.031406689,-0.017112289,0.99611352,0.065323994,-0.159279525,-0.985069931,22.35485458,-12.40435791,-32.49176025,-0.344614,101.4225
348.425,34.8425,1478109661,0.101501465,-0.063919067,-0.848800659,-0.394201904,1.228583855,-0.06654121,-0.039916822,0.077436549,0.156738063,-0.318980664,1.156587005,-0.059940368,-0.023279788,0.092666306,0.140360355,0.037020862,-0.016851073,0.996045637,0.07641089,-0.156097084,-0.984781742,23.07757378,-12.21229935,-32.05631638,-0.344614,101.4225
358.125,35.8125,1478109661,0.076843262,-0.03137207,-0.806167603,-0.537133759,1.138316543,-0.24036174,-0.042640865,0.10109605,0.148985508,-0.461912662,1.066319823,-0.233760908,0.001695552,0.084515885,0.135072216,0.048790323,-0.017473016,0.995806775,0.099805914,-0.148434952,-0.98387289,23.07757378,-12.21229935,-32.05631638,-0.344614,101.4225
367.802,36.7802,1478109661,0.074691772,-0.005264282,-0.768127441,-0.769984852,0.992810475,-0.286604869,-0.044680414,0.110877975,0.142412864,-0.69476378,0.920813859,-0.280004054,-0.032687481,0.110559896,0.177630305,0.053669537,-0.018306235,0.995772985,0.109530739,-0.141931966,-0.983797908,23.07757378,-12.21229935,-32.05631638,-0.344614,101.4225
377.481,37.7481,1478109661,0.082077026,-0.003875732,-0.741363525,-0.769984852,0.992810475,-0.286604869,-0.044680414,0.110877975,0.142412864,-0.69476378,0.920813859,-0.280004054,-0.032687481,0.110559896,0.177630305,0.053669537,-0.018306235,0.995772985,0.109530739,-0.141931966,-0.983797908,23.07757378,-12.21229935,-32.05631638,-0.344614,101.4225
387.153,38.7153,1478109661,0.102478027,-0.024856567,-0.72366333,-1.03707168,1.011466718,-0.323714687,-0.046710273,0.120406064,0.133188117,-0.96185106,0.93947053,-0.317113876,-0.036974519,0.128918961,0.242604107,0.058465729,-0.019256346,0.995797674,0.119051546,-0.132794693,-0.983967602,24.53281021,-11.40805721,-31.26210976,-0.344614,101.4225
396.838,39.6838,1478109661,0.08895874,-0.066696167,-0.688217163,-1.30053288,1.729670664,-0.551291124,-0.05231804,0.145945007,0.108231834,-1.225312233,1.657674551,-0.544690311,-0.042098481,0.083164081,0.259916455,0.071365118,-0.022106044,0.995641105,0.144576505,-0.108020648,-0.983579755,24.53281021,-11.40805721,-31.26210976,-0.344614,101.4225
406.514,40.6514,1478109661,0.059082031,-0.0756073,-0.736282349,-1.30053288,1.729670664,-0.551291124,-0.05231804,0.145945007,0.108231834,-1.225312233,1.657674551,-0.544690311,-0.042098481,0.083164081,0.259916455,0.071365118,-0.022106044,0.995641105,0.144576505,-0.108020648,-0.983579755,24.53281021,-11.40805721,-31.26210976,-0.344614,101.4225
416.17,41.617,1478109662,0.12487793,-0.099411011,-0.833770752,-0.813453234,2.716584102,-0.715502968,-0.063027888,0.195246801,0.088423511,-0.738233089,2.644588232,-0.70890224,-0.13416867,0.01270103,0.240884885,0.095938847,-0.027022353,0.99390815,0.193250701,-0.088308327,-0.977167249,25.92625427,-10.01050949,-30.60949516,-0.344614,101.4225
425.869,42.5869,1478109662,0.37411499,-0.421081543,-2.189880371,0.055897621,1.128542209,-0.315341975,-0.067167119,0.21246792,0.086029774,0.131117582,1.056546569,-0.308741242,-0.085215166,-0.013487317,0.140127599,0.104440701,-0.028799997,0.993035618,0.210093096,-0.085923694,-0.973898351,25.92625427,-10.01050949,-30.60949516,-0.344614,101.4225
435.548,43.5548,1478109662,0.244293213,-0.332550049,-1.2684021,0.055897621,1.128542209,-0.315341975,-0.067167119,0.21246792,0.086029774,0.131117582,1.056546569,-0.308741242,-0.085215166,-0.013487317,0.140127599,0.104440701,-0.028799997,0.993035618,0.210093096,-0.085923694,-0.973898351,25.92625427,-10.01050949,-30.60949516,-0.344614,101.4225
445.227,44.5227,1478109662,0.172622681,-0.206298828,-0.835067749,0.777721069,-0.225393709,0.256957761,-0.067275188,0.21132061,0.093519808,0.852940798,-0.29738906,0.263558477,0.035458468,-0.239166498,-0.294919908,0.103725689,-0.028480247,0.992940062,0.208834752,-0.093383551,-0.973482192,27.70854568,-9.276435852,-29.2490406,-0.344614,101.4225
454.901,45.4901,1478109662,0.121673584,-0.075332642,-0.800354004,0.807777505,-0.160294601,0.472189647,-0.064853402,0.208165866,0.103201284,0.882997155,-0.232289866,0.478790343,-0.032943457,-0.103280641,0.138138205,0.102039124,-0.026846787,0.99291602,0.205566138,-0.103018187,-0.973205924,27.70854568,-9.276435852,-29.2490406,-0.344614,101.4225
464.567,46.4567,1478109662,0.056533813,0.056488037,-0.871643066,0.644226391,0.259030233,0.489260775,-0.061482809,0.2086737,0.111746819,0.719445825,0.187035158,0.495861441,-0.084196858,0.036181752,0.171850652,0.102228865,-0.024708399,0.992719409,0.20587045,-0.111514397,-0.972204685,27.70854568,-9.276435852,-29.2490406,-0.344614,101.4225
474.248,47.4248,1478109662,0.126724243,0.106414795,-0.931030273,0.147552174,0.429612092,0.100367085,-0.057940047,0.215587591,0.120791058,0.222771451,0.35761717,0.106967755,-0.155828923,0.176985577,0.098090097,0.105605745,-0.022254355,0.99215489,0.212362736,-0.12049754,-0.969733179,27.52449417,-10.32888603,-29.06954575,-0.344614,101.4225
483.937,48.3937,1478109662,0.215316772,-0.036239624,-0.824310303,0.147552174,0.429612092,0.100367085,-0.057940047,0.215587591,0.120791058,0.222771451,0.35761717,0.106967755,-0.155828923,0.176985577,0.098090097,0.105605745,-0.022254355,0.99215489,0.212362736,-0.12049754,-0.969733179,27.52449417,-10.32888603,-29.06954575,-0.344614,101.4225
