time(ms),time(ds),x_accel,y_accel,z_accel,g_measured,TimeInterval
3634.034,363.4034,0.271118,-0.482925,0.291321,0.625771,5262.91017
3663.562,366.3562,0.094101,-0.836166,0.167419,0.857939,5262.939698
3693.125,369.3125,0.345734,-0.74939,0.74794,1.113791,5262.969261
3722.668,372.2668,-0.128662,-0.928986,0.671173,1.153274,5262.998804
3752.209,375.2209,-0.1035,-1.249451,0.22496,1.273753,5263.028345
3781.754,378.1754,0.109329,-1.483704,-0.192215,1.500092,5263.05789
3811.299,381.1299,-0.066025,-1.70816,-0.102325,1.712496,5263.087435
3840.842,384.0842,-0.105347,-1.515625,0.090881,1.521998,5263.116978
3870.383,387.0383,0.134521,-1.214813,0.159241,1.232568,5263.146519
3899.928,389.9928,0.054672,-1.032791,0.213928,1.056131,5263.176064
3929.472,392.9472,-0.109375,-0.995987,0.260864,1.035376,5263.205608
3959.017,395.9017,-0.048126,-0.958237,0.238571,0.988661,5263.235153
3988.561,398.8561,-0.000748,-0.982071,0.074265,0.984875,5263.264697
4018.107,401.8107,-0.091629,-0.955032,0.105804,0.965234,5263.294243
4047.653,404.7653,-0.121887,-0.930954,0.165527,0.953379,5263.323789
4077.2,407.72,-0.042908,-0.96167,0.147522,0.973865,5263.353336
4106.744,410.6744,0.005356,-0.960632,0.242706,0.990833,5263.38288
4136.289,413.6289,-0.046341,-0.925171,0.230072,0.954475,5263.412425
4165.832,416.5832,-0.054504,-0.987381,0.188644,1.006717,5263.441968
4195.374,419.5374,0.040939,-0.962646,0.173553,0.979023,5263.47151
4224.921,422.4921,0.143158,-0.911057,0.286346,0.965667,5263.501057
4254.468,425.4468,0.393875,-1.050919,0.190079,1.138287,5263.530604
4284.015,428.4015,0.396912,-1.073807,0.111465,1.150228,5263.560151
4313.56,431.356,0.027634,-0.878601,0.401566,0.966415,5263.589696
4343.106,434.3106,-0.542755,-0.987167,0.503571,1.233963,5263.619242
4372.658,437.2658,-0.249268,-0.955185,0.47081,1.093698,5263.648794
4402.204,440.2204,0.314392,-1.149704,0.532684,1.305532,5263.67834
4431.75,443.175,0.477005,-1.047821,0.250702,1.178267,5263.707886
4461.296,446.1296,0.165817,-0.146439,0.178268,0.284111,5263.737432
4490.841,449.0841,-0.39209,-2.361588,-0.189926,2.401437,5263.766977
4520.383,452.0383,-0.438766,-1.239685,-0.293945,1.347494,5263.796519
4549.926,454.9926,-0.098389,-0.686096,0.453522,0.828306,5263.826062
4579.47,457.947,0.27388,-0.767578,0.38443,0.901095,5263.855606
4609.012,460.9012,0.264572,-0.751968,0.289566,0.848118,5263.885148
4638.558,463.8558,0.140213,-0.743896,0.171326,0.776141,5263.914694
4668.106,466.8106,0.125397,-0.778549,0.039703,0.789582,5263.944242
4697.652,469.7652,0.165497,-0.938736,-0.108292,0.959344,5263.973788
4727.196,472.7196,0.076218,-0.912216,-0.195938,0.93613,5264.003332
4756.745,475.6745,0.028839,-0.883759,-0.281662,0.928006,5264.032881
4786.29,478.629,-0.063141,-0.904739,-0.327255,0.964176,5264.062426
4815.837,481.5837,-0.111572,-0.968613,-0.237091,1.00343,5264.091973
4845.382,484.5382,-0.13916,-1.086639,-0.198822,1.11341,5264.121518
4874.92,487.492,-0.104935,-1.167542,-0.287201,1.206917,5264.151056
4904.471,490.4471,-0.152435,-0.992783,-0.377319,1.072951,5264.180607
4934.014,493.4014,-0.389511,-1.085907,-0.19342,1.169754,5264.21015
4963.562,496.3562,-0.305725,-1.112518,-0.12648,1.160673,5264.239698
4993.11,499.311,-0.139984,-1.016708,-0.241165,1.054254,5264.269246
5022.657,502.2657,-0.304886,-0.877411,-0.13826,0.939107,5264.298793
5052.2,505.22,-0.40889,-0.888504,-0.337875,1.03479,5264.328336
5081.753,508.1753,-0.128387,-0.900375,-0.443436,1.011827,5264.357889
5111.3,511.13,-0.577301,-0.768143,-0.145065,0.971784,5264.387436
5140.845,514.0845,-0.460739,-0.848236,-0.050186,0.966594,5264.416981
5170.391,517.0391,-0.064575,-0.846466,0.015228,0.849062,5264.446527
5199.939,519.9939,0.00882,-0.962708,0.005692,0.962765,5264.476075
5229.483,522.9483,-0.225479,-1.034256,0.002945,1.058553,5264.505619
5259.035,525.9035,-0.194473,-0.969452,0.168976,1.0031,5264.535171
5288.585,528.8585,0.480194,-1.06958,0.168579,1.184486,5264.564721
5318.132,531.8132,-0.022629,-1.090454,0.206696,1.110101,5264.594268
5347.679,534.7679,-0.181976,-1.012375,0.170532,1.042641,5264.623815
5377.224,537.7224,-0.004639,-1.009903,0.164597,1.023239,5264.65336
5406.747,540.6747,-0.053497,-0.991165,0.053726,0.994061,5264.682883
5436.319,543.6319,-0.009262,-0.982773,0.065781,0.985015,5264.712455
5465.866,546.5866,-0.088394,-0.991821,0.073853,0.998487,5264.742002
5495.412,549.5412,-0.3806,-0.945511,0.211151,1.04088,5264.771548
5524.961,552.4961,-0.673996,-0.902008,0.493103,1.229244,5264.801097
5554.509,555.4509,-0.079773,-0.85817,0.459366,0.976645,5264.830645
5584.056,558.4056,0.178711,-0.969574,0.314194,1.03476,5264.860192
5613.605,561.3605,0.28923,-1.041367,0.082077,1.083898,5264.889741
5643.153,564.3153,0.187256,-0.975235,0.229446,1.019212,5264.919289
5672.699,567.2699,-0.126617,-0.965042,0.424652,1.061917,5264.948835
5702.244,570.2244,-0.132782,-0.965485,0.474869,1.084109,5264.97838
5731.796,573.1796,0.013245,-0.978775,0.374054,1.047899,5265.007932
5761.346,576.1346,-0.110687,-0.953903,0.304947,1.007559,5265.037482
5790.894,579.0894,0.138168,-0.947662,0.303375,1.004585,5265.06703
5820.439,582.0439,0.202896,-0.970505,0.224579,1.016603,5265.096575
5849.988,584.9988,0.053162,-1.001297,0.21109,1.024686,5265.126124
5879.535,587.9535,0.205521,-0.996704,0.12767,1.02565,5265.155671
5909.083,590.9083,0.177505,-0.92688,0.148529,0.95534,5265.185219
5938.631,593.8631,0.032043,-0.99971,0.138443,1.009759,5265.214767
5968.178,596.8178,0.078552,-0.967957,0.216049,0.994881,5265.244314
5997.725,599.7725,0.038208,-0.992615,0.205002,1.014283,5265.273861
6027.271,602.7271,0.019974,-0.992371,0.279739,1.031238,5265.303407
6056.815,605.6815,-0.017731,-0.955154,0.25621,0.989079,5265.332951
6086.36,608.636,0.011261,-0.931412,0.216721,0.956359,5265.362496
6115.903,611.5903,0.070007,-0.990326,0.196732,1.012102,5265.392039
6145.448,614.5448,0.029282,-0.962494,0.225952,0.989094,5265.421584
6174.994,617.4994,0.032059,-0.945709,0.181885,0.963574,5265.45113
6204.543,620.4543,0.210129,-0.969116,0.156509,1.00391,5265.480679
6234.09,623.409,0.162384,-0.948868,0.173264,0.97813,5265.510226
6263.639,626.3639,0.079819,-0.958847,0.21138,0.985109,5265.539775
6293.191,629.3191,0.017929,-1.001373,0.222519,1.025955,5265.569327
6322.739,632.2739,-0.042282,-0.980301,0.264709,1.016292,5265.598875
6352.287,635.2287,-0.059967,-0.942657,0.289978,0.988072,5265.628423
6381.835,638.1835,-0.074463,-0.906845,0.305893,0.959939,5265.657971
6411.385,641.1385,0.076462,-0.900131,0.247574,0.936683,5265.687521
6440.934,644.0934,0.12822,-0.992935,0.158676,1.013676,5265.71707
6470.484,647.0484,-0.203751,-0.928482,0.055496,0.952194,5265.74662
6500.031,650.0031,-0.471359,-0.94751,-0.08284,1.061516,5265.776167
6529.577,652.9577,-0.105484,-1.227356,-0.339142,1.277712,5265.805713
6559.125,655.9125,0.258698,-1.347244,-0.40062,1.429156,5265.835261
6588.67,658.867,-0.154633,-1.785172,0.065338,1.793047,5265.864806
6618.214,661.8214,-0.125259,-1.478897,0.330276,1.520496,5265.89435
6647.758,664.7758,0.057587,-1.428604,0.376251,1.478442,5265.923894
6677.302,667.7302,0.237045,-1.36882,0.349228,1.432417,5265.953438
6706.846,670.6846,0.077972,-1.193771,0.208374,1.214327,5265.982982
6736.392,673.6392,-0.031006,-0.988586,0.239899,1.01775,5266.012528
6765.939,676.5939,0.113693,-0.682098,0.255325,0.73714,5266.042075
6795.48,679.548,0.18924,-0.564941,0.13295,0.610447,5266.071616
6825.03,682.503,0.326157,-0.500793,0.218918,0.636473,5266.101166
6854.552,685.4552,0.261383,-0.379608,0.294861,0.547144,5266.130688
6884.119,688.4119,0.251938,-0.266083,0.445587,0.576906,5266.160255
6913.666,691.3666,0.396988,-0.477982,0.503586,0.79979,5266.189802
6943.209,694.3209,0.454941,-0.424561,0.738861,0.965991,5266.219345
6972.753,697.2753,0.173691,-0.572876,0.737671,0.950007,5266.248889
7002.304,700.2304,0.443741,-0.559204,0.545731,0.898575,5266.27844
7031.848,703.1848,0.213257,-0.929596,0.453217,1.055951,5266.307984
7061.395,706.1395,0.443085,-1.005493,0.621521,1.26239,5266.337531
7090.943,709.0943,0.31691,-0.95224,0.435303,1.093929,5266.367079
7120.489,712.0489,0.295227,-1.220139,0.419128,1.323467,5266.396625
7149.974,714.9974,0.38652,-0.970825,0.45871,1.14119,5266.42611
7179.523,717.9523,0.020523,-1.157227,0.300339,1.195742,5266.455659
7209.068,720.9068,0.0755,-0.976059,0.409744,1.061264,5266.485204
7238.615,723.8615,0.012878,-0.909882,0.391556,0.990639,5266.514751
7268.161,726.8161,-0.027832,-0.877914,0.385468,0.959215,5266.544297
7297.705,729.7705,0.122421,-0.980194,0.127075,0.99595,5266.573841
7327.22,732.722,0.128021,-0.920242,0.197037,0.949768,5266.603356
7356.788,735.6788,-0.117142,-0.981735,0.170746,1.003335,5266.632924
7386.33,738.633,-0.035919,-0.926636,0.200027,0.94866,5266.662466
7415.871,741.5871,-0.110733,-0.921585,0.261108,0.96424,5266.692007
7445.413,744.5413,-0.088974,-0.959961,0.282944,1.004738,5266.721549
7474.959,747.4959,0.021652,-0.919785,0.245926,0.95234,5266.751095
7504.477,750.4477,-0.022339,-0.926239,0.223297,0.953037,5266.780613
7534.043,753.4043,-0.113174,-0.926697,0.238083,0.963462,5266.810179
7563.585,756.3585,-0.124176,-0.964798,0.183517,0.989916,5266.839721
7593.126,759.3126,0.012451,-0.98024,0.162689,0.993727,5266.869262
7622.669,762.2669,0.132462,-0.961761,0.204117,0.992066,5266.898805
7652.216,765.2216,0.070114,-1.019608,0.308304,1.067505,5266.928352
7681.761,768.1761,-0.015701,-1.125702,0.387955,1.190781,5266.957897
7711.304,771.1304,0.160187,-0.707199,0.548553,0.909231,5266.98744
7740.845,774.0845,0.433731,-0.889359,0.699356,1.211685,5267.016981
7770.386,777.0386,0.320892,-1.542969,0.360123,1.616605,5267.046522
7799.93,779.993,-0.130096,-1.998795,0.546875,2.076337,5267.076066
7829.473,782.9473,0.727432,-1.573074,-0.052032,1.733905,5267.105609
7859.016,785.9016,0.561249,-1.358871,-0.011337,1.470259,5267.135152
7888.562,788.8562,-6.31311,-4.409164,-1.555588,7.85595,5267.164698
7918.106,791.8106,2.863907,0.952652,4.715149,5.598405,5267.194242
7947.653,794.7653,0.126953,-0.156006,-0.027939,0.203065,5267.223789
7977.2,797.72,-0.319412,-0.328171,0.087723,0.466278,5267.253336
8006.746,800.6746,-0.271652,-0.436737,0.116501,0.527358,5267.282882
8036.293,803.6293,-0.271332,-0.611847,0.139526,0.6837,5267.312429
8065.841,806.5841,-0.142349,-0.749435,0.100479,0.769424,5267.341977
8095.389,809.5389,0.127441,-0.715622,0.007492,0.72692,5267.371525
8124.936,812.4936,0.151886,-0.805206,0.060516,0.821638,5267.401072
8154.481,815.4481,0.026947,-1.002335,0.186783,1.019945,5267.430617
8184.03,818.403,-0.019043,-0.94725,0.219101,0.972446,5267.460166
8213.572,821.3572,0.005676,-0.934143,0.227524,0.961469,5267.489708
8243.118,824.3118,-0.007751,-0.948212,0.218872,0.973175,5267.519254
