timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas)
1380,-0.476855,1.530971,-1.985215,-0.333161,0.112405,0.442536,-0.018274,-0.999207,-0.035373,0.033335,-0.038558,-0.05238,-20.117159,-34.042233,-8.175738
1400,-0.588451,1.521413,-1.872974,-0.272963,-0.016402,0.453266,-0.0274,-0.998781,-0.04106,0.039927,-0.038618,-0.047456,-20.117159,-34.042233,-8.175738
1420,-0.655783,1.512078,-1.806627,-0.266653,-0.069807,0.399987,-0.035785,-0.998277,-0.046512,-0.015958,0.000672,-0.007214,-20.671219,-33.576897,-8.701093
1440,-0.702608,1.503458,-1.761064,-0.243102,-0.0562,0.369131,-0.043482,-0.997734,-0.051351,-0.006735,-0.016381,0.009573,-20.960142,-33.354851,-8.862446
1460,-0.731598,1.494987,-1.73276,-0.254708,-0.036023,0.354198,-0.050597,-0.997128,-0.056357,0.014647,-0.018635,-0.022501,-21.348114,-33.051159,-9.071679
1480,-0.758926,1.486472,-1.706691,-0.230432,-0.082805,0.373409,-0.057958,-0.996447,-0.061111,0.035391,-0.010984,-0.020768,-21.348114,-33.051159,-9.071679
1500,-0.793167,1.477856,-1.67481,-0.195689,-0.168892,0.408611,-0.066132,-0.995684,-0.065112,0.022583,-0.034559,-0.016782,-21.858128,-32.6441,-9.327457
1520,-0.828226,1.469251,-1.643664,-0.188426,-0.210313,0.424597,-0.074683,-0.994849,-0.068545,0.022208,-0.020669,-0.00929,-22.157612,-32.427406,-9.376561
1540,-0.837027,1.460471,-1.638969,-0.165086,-0.230578,0.427827,-0.081768,-0.99392,-0.073732,0.023891,-0.038978,-0.030607,-22.157612,-32.427406,-9.376561
1560,-0.870239,1.451801,-1.610663,-0.155697,-0.273069,0.443816,-0.090755,-0.992928,-0.076529,0.043087,-0.031577,-0.018976,-22.732853,-31.997734,-9.475178
